对话ID	触发方式	启用模式	[触发条件]组合	[触发条件]1类型	[触发条件]1参数1	[触发条件]1参数2	[触发条件]1参数3	[触发条件]2类型	[触发条件]2参数1	[触发条件]2参数2	[触发条件]2参数3	[触发条件]3类型	[触发条件]3参数1	[触发条件]3参数2	[触发条件]3参数3	优先级	后续对话ID	初始台词ID	演员NpcID	专属父任务ID
2006603	2		1	1	2006602	3		1	2006603	2						6		200660301	1605	20066
2000103	2	1		1	2000201	2										5	2000104,2000105	200010301	20005	
2000104	2	1		1	2000201	2										4		200010401	20005	
2000105	2	1		1	2000201	2										4		200010501	20005	
2000106	2	1		1	2000202	2										1		200010601	20005	
2000107	2	1		1	2000201	2										1		200010701	20005	
2000108	2	1		1	2000203	2										1		200010801	20005	
2003001	2	1		1	2003002	2										11		200300101	1512	20030
2003002	2	1		1	2003003	2										11		200300201	1512	20030
2003101	2	1		1	2003102	2		12	0			13	0			10		200310101	1512	20031
2003102	2	1		1	2003103	2		12	1			13	0			10	2010137	200310201	1512	20031
2003103	2	1		1	2003104	2		12	1			13	1			10		200310301	1512	20031
2003104	2	1		1	2003105	2		12	1			13	0			9	2010137	200310401	1512	20031
2003105	2	1		1	2003106	2		12	1			13	1			10		200310501	1512	20031
2003301	2	1		1	2003301	2										9		200330101	1479	
2003303	2	1		1	2003303	2										9		200330103	1479	
2010135	2	1															2003101,2003102,2003103,2003104,2003105,2003001,2003002,2010136,2010137,2010138,2010139,2010140,2010141,2010142,2010143	201013501	1512	
2010136			1	11	1			12	0							1		201013601	1512,2078	
2010137			1	11	1			12	1			13	0			1		201013701	1512,2078	
2010138			1	11	1			13	1							1		201013801	1512,2078	
2010139				14	0											2		201013901	1512	
2010140				14	1											2		201014001	1512	
2010141			1	15	0			10	39	1						3		201014101	1512,2078	
2010142			1	15	1			10	39	1						3		201014201	1512,2078	
2010143																		201014301	1512	
2050105	1			1	2050102	2										5		205010501	141301	20501
2050106	1			1	2050106	2										5		205010501	141301	
2050107	1			1	2050107	2										5		205010501	141301	
2050108	1			1	2050108	2										5		205010501	141301	
2050109	2	1		1	2050104	2										9		205010901	1512	20501
2050302	2	1		1	2050302	2										9		205030201	1417	
2050305	2	1		1	2050305	2										9		205030501	1417	
2050306	2	1		1	2050306	2										9		205030601	1417	
2050401	2	1		1	2050401	2										9		205040101	1435	
2050403	2	1		1	2050403	2										9		205040301	1435	
2050501	2	1		1	2050501	2										8		205050101	1512	
2050502	2	1		1	2050502	2										8		205050201	1512	
2050601	2	1		1	2050601	2										9		205060101	1587	
2050602	2	1		1	2050602	2										9		205060201	1587	
