武器突破ID	突破等级	[消耗物品]1ID	[消耗物品]1数量	[消耗物品]2ID	[消耗物品]2数量	[消耗物品]3ID	[消耗物品]3数量	突破消耗金币	[增加属性]1类型	[增加属性]1值	[增加属性]2类型	[增加属性]2值	[增加属性]3类型	[增加属性]3值	[增加属性]4类型	[增加属性]4值	[增加属性]5类型	[增加属性]5值	突破后解锁等级上限	冒险等级要求
14201	2	114006	5	112020	12	112005	12	30000	4	42.8	20	0	22	0	23	0	28	0	60	25
14201	3	114007	5	112021	15	112006	15	40000	4	70	20	0	22	0	23	0	28	0	70	35
14301	0	0	0	0	0	0	0	0	4	0	20	0	22	0	23	0	28	0	20	0
14301	1	114001	3	112014	3	112002	2	20000	4	25.9	20	0	22	0	23	0	28	0	40	12
14301	2	114002	5	112014	12	112002	12	35000	4	54.5	20	0	22	0	23	0	28	0	60	25
14301	3	114003	5	112015	15	112003	15	55000	4	84.3	20	0	22	0	23	0	28	0	80	35
14301	4	114004	5	112016	18	112004	18	75000	4	116.7	20	0	22	0	23	0	28	0	90	45
14302	0	0	0	0	0	0	0	0	4	0	20	0	22	0	23	0	28	0	20	0
14302	1	114005	3	112020	3	112008	2	20000	4	25.9	20	0	22	0	23	0	28	0	40	12
14302	2	114006	5	112020	12	112008	12	35000	4	54.5	20	0	22	0	23	0	28	0	60	25
14302	3	114007	5	112021	15	112009	15	55000	4	84.3	20	0	22	0	23	0	28	0	80	35
14302	4	114008	5	112022	18	112010	18	75000	4	116.7	20	0	22	0	23	0	28	0	90	45
14303	0	0	0	0	0	0	0	0	4	0	20	0	22	0	23	0	28	0	20	0
14303	1	114009	3	112023	3	112005	2	20000	4	25.9	20	0	22	0	23	0	28	0	40	12
14303	2	114010	5	112023	12	112005	12	35000	4	54.5	20	0	22	0	23	0	28	0	60	25
14303	3	114011	5	112024	15	112006	15	55000	4	84.3	20	0	22	0	23	0	28	0	80	35
14303	4	114012	5	112025	18	112007	18	75000	4	116.7	20	0	22	0	23	0	28	0	90	45
14304	0	0	0	0	0	0	0	0	4	0	20	0	22	0	23	0	28	0	20	0
14304	1	114013	3	112029	3	112008	2	20000	4	25.9	20	0	22	0	23	0	28	0	40	12
14304	2	114014	5	112029	12	112008	12	35000	4	54.5	20	0	22	0	23	0	28	0	60	25
14304	3	114015	5	112030	15	112009	15	55000	4	84.3	20	0	22	0	23	0	28	0	80	35
14304	4	114016	5	112031	18	112010	18	75000	4	116.7	20	0	22	0	23	0	28	0	90	45
14305	0	0	0	0	0	0	0	0	4	0	20	0	22	0	23	0	28	0	20	0
14305	1	114017	3	112026	3	112005	2	20000	4	25.9	20	0	22	0	23	0	28	0	40	12
14305	2	114018	5	112026	12	112005	12	35000	4	54.5	20	0	22	0	23	0	28	0	60	25
14305	3	114019	5	112027	15	112006	15	55000	4	84.3	20	0	22	0	23	0	28	0	80	35
14305	4	114020	5	112028	18	112007	18	75000	4	116.7	20	0	22	0	23	0	28	0	90	45
14306	0	0	0	0	0	0	0	0	4	0	20	0	22	0	23	0	28	0	20	0
14306	1	114021	3	112029	3	112011	2	20000	4	25.9	20	0	22	0	23	0	28	0	40	12
14306	2	114022	5	112029	12	112011	12	35000	4	54.5	20	0	22	0	23	0	28	0	60	25
14306	3	114023	5	112030	15	112012	15	55000	4	84.3	20	0	22	0	23	0	28	0	80	35
14306	4	114024	5	112031	18	112013	18	75000	4	116.7	20	0	22	0	23	0	28	0	90	45
14401	0	0	0	0	0	0	0	0	4	0	20	0	22	0	23	0	28	0	20	0
14401	1	114001	3	112014	3	112011	2	25000	4	34.6	20	0	22	0	23	0	28	0	40	12
14401	2	114002	5	112014	12	112011	12	45000	4	72.6	20	0	22	0	23	0	28	0	60	25
14401	3	114003	5	112015	15	112012	15	70000	4	112.4	20	0	22	0	23	0	28	0	80	35
14401	4	114004	5	112016	18	112013	18	90000	4	155.6	20	0	22	0	23	0	28	0	90	45
14402	0	0	0	0	0	0	0	0	4	0	20	0	22	0	23	0	28	0	20	0
14402	1	114005	3	112020	3	112002	2	25000	4	34.6	20	0	22	0	23	0	28	0	40	12
14402	2	114006	5	112020	12	112002	12	45000	4	72.6	20	0	22	0	23	0	28	0	60	25
14402	3	114007	5	112021	15	112003	15	70000	4	112.4	20	0	22	0	23	0	28	0	80	35
14402	4	114008	5	112022	18	112004	18	90000	4	155.6	20	0	22	0	23	0	28	0	90	45
14403	0	0	0	0	0	0	0	0	4	0	20	0	22	0	23	0	28	0	20	0
14403	1	114009	3	112023	3	112008	2	25000	4	34.6	20	0	22	0	23	0	28	0	40	12
14403	2	114010	5	112023	12	112008	12	45000	4	72.6	20	0	22	0	23	0	28	0	60	25
14403	3	114011	5	112024	15	112009	15	70000	4	112.4	20	0	22	0	23	0	28	0	80	35
14403	4	114012	5	112025	18	112010	18	90000	4	155.6	20	0	22	0	23	0	28	0	90	45
14404	0	0	0	0	0	0	0	0	4	0	20	0	22	0	23	0	28	0	20	0
14404	1	114001	3	112014	3	112005	2	25000	4	34.6	20	0	22	0	23	0	28	0	40	12
14404	2	114002	5	112014	12	112005	12	45000	4	72.6	20	0	22	0	23	0	28	0	60	25
14404	3	114003	5	112015	15	112006	15	70000	4	112.4	20	0	22	0	23	0	28	0	80	35
14404	4	114004	5	112016	18	112007	18	90000	4	155.6	20	0	22	0	23	0	28	0	90	45
14405	0	0	0	0	0	0	0	0	4	0	20	0	22	0	23	0	28	0	20	0
14405	1	114013	3	112026	3	112002	2	25000	4	34.6	20	0	22	0	23	0	28	0	40	12
14405	2	114014	5	112026	12	112002	12	45000	4	72.6	20	0	22	0	23	0	28	0	60	25
14405	3	114015	5	112027	15	112003	15	70000	4	112.4	20	0	22	0	23	0	28	0	80	35
14405	4	114016	5	112028	18	112004	18	90000	4	155.6	20	0	22	0	23	0	28	0	90	45
14406	0	0	0	0	0	0	0	0	4	0	20	0	22	0	23	0	28	0	20	0
14406	1	114017	3	112029	3	112008	2	25000	4	34.6	20	0	22	0	23	0	28	0	40	12
14406	2	114018	5	112029	12	112008	12	45000	4	72.6	20	0	22	0	23	0	28	0	60	25
14406	3	114019	5	112030	15	112009	15	70000	4	112.4	20	0	22	0	23	0	28	0	80	35
14406	4	114020	5	112031	18	112010	18	90000	4	155.6	20	0	22	0	23	0	28	0	90	45
14407	0	0	0	0	0	0	0	0	4	0	20	0	22	0	23	0	28	0	20	0
14407	1	114021	3	112026	3	112005	2	25000	4	34.6	20	0	22	0	23	0	28	0	40	12
14407	2	114022	5	112026	12	112005	12	45000	4	72.6	20	0	22	0	23	0	28	0	60	25
14407	3	114023	5	112027	15	112006	15	70000	4	112.4	20	0	22	0	23	0	28	0	80	35
14407	4	114024	5	112028	18	112007	18	90000	4	155.6	20	0	22	0	23	0	28	0	90	45
14408	0	0	0	0	0	0	0	0	4	0	20	0	22	0	23	0	28	0	20	0
14408	1	114013	3	112029	3	112011	2	25000	4	34.6	20	0	22	0	23	0	28	0	40	12
14408	2	114014	5	112029	12	112011	12	45000	4	72.6	20	0	22	0	23	0	28	0	60	25
14408	3	114015	5	112030	15	112012	15	70000	4	112.4	20	0	22	0	23	0	28	0	80	35
14408	4	114016	5	112031	18	112013	18	90000	4	155.6	20	0	22	0	23	0	28	0	90	45
14501	0	0	0	0	0	0	0	0	4	0	20	0	22	0	23	0	28	0	20	0
14501	1	114005	3	112020	3	112011	2	30000	4	46.7	20	0	22	0	23	0	28	0	40	12
14501	2	114006	5	112020	12	112011	12	55000	4	93.4	20	0	22	0	23	0	28	0	60	25
14501	3	114007	5	112021	15	112012	15	85000	4	140	20	0	22	0	23	0	28	0	80	35
14501	4	114008	5	112022	18	112013	18	110000	4	186.7	20	0	22	0	23	0	28	0	90	45
14502	0	0	0	0	0	0	0	0	4	0	20	0	22	0	23	0	28	0	20	0
14502	1	114009	3	112023	3	112002	2	30000	4	46.7	20	0	22	0	23	0	28	0	40	12
14502	2	114010	5	112023	12	112002	12	55000	4	93.4	20	0	22	0	23	0	28	0	60	25
14502	3	114011	5	112024	15	112003	15	85000	4	140	20	0	22	0	23	0	28	0	80	35
14502	4	114012	5	112025	18	112004	18	110000	4	186.7	20	0	22	0	23	0	28	0	90	45
14503	0	0	0	0	0	0	0	0	4	0	20	0	22	0	23	0	28	0	20	0
14503	1	114001	3	112014	3	112008	2	30000	4	46.7	20	0	22	0	23	0	28	0	40	12
14503	2	114002	5	112014	12	112008	12	55000	4	93.4	20	0	22	0	23	0	28	0	60	25
14503	3	114003	5	112015	15	112009	15	85000	4	140	20	0	22	0	23	0	28	0	80	35
14503	4	114004	5	112016	18	112010	18	110000	4	186.7	20	0	22	0	23	0	28	0	90	45
14504	0	0	0	0	0	0	0	0	4	0	20	0	22	0	23	0	28	0	20	0
14504	1	114017	3	112026	3	112002	2	30000	4	46.7	20	0	22	0	23	0	28	0	40	12
14504	2	114018	5	112026	12	112002	12	55000	4	93.4	20	0	22	0	23	0	28	0	60	25
14504	3	114019	5	112027	15	112003	15	85000	4	140	20	0	22	0	23	0	28	0	80	35
14504	4	114020	5	112028	18	112004	18	110000	4	186.7	20	0	22	0	23	0	28	0	90	45
14505	0	0	0	0	0	0	0	0	4	0	20	0	22	0	23	0	28	0	20	0
14505	1	114021	3	112029	3	112008	2	30000	4	46.7	20	0	22	0	23	0	28	0	40	12
14505	2	114022	5	112029	12	112008	12	55000	4	93.4	20	0	22	0	23	0	28	0	60	25
14505	3	114023	5	112030	15	112009	15	85000	4	140	20	0	22	0	23	0	28	0	80	35
14505	4	114024	5	112031	18	112010	18	110000	4	186.7	20	0	22	0	23	0	28	0	90	45
14506	0	0	0	0	0	0	0	0	4	0	20	0	22	0	23	0	28	0	20	0
14506	1	114013	3	112026	3	112005	2	30000	4	46.7	20	0	22	0	23	0	28	0	40	12
14506	2	114014	5	112026	12	112005	12	55000	4	93.4	20	0	22	0	23	0	28	0	60	25
14506	3	114015	5	112027	15	112006	15	85000	4	140	20	0	22	0	23	0	28	0	80	35
14506	4	114016	5	112028	18	112007	18	110000	4	186.7	20	0	22	0	23	0	28	0	90	45
15101	0	0	0	0	0	0	0	0	4	0	20	0	22	0	23	0	28	0	20	0
15101	1	114009	3	112023	3	112011	2	5000	4	19.5	20	0	22	0	23	0	28	0	40	12
15101	2	114010	5	112023	12	112011	12	15000	4	42.8	20	0	22	0	23	0	28	0	60	25
15101	3	114011	5	112024	15	112012	15	20000	4	70	20	0	22	0	23	0	28	0	70	35
15201	0	0	0	0	0	0	0	0	4	0	20	0	22	0	23	0	28	0	20	0
15201	1	114001	3	112014	3	112002	2	15000	4	19.5	20	0	22	0	23	0	28	0	40	12
15201	2	114002	5	112014	12	112002	12	30000	4	42.8	20	0	22	0	23	0	28	0	60	25
15201	3	114003	5	112015	15	112003	15	40000	4	70	20	0	22	0	23	0	28	0	70	35
15301	0	0	0	0	0	0	0	0	4	0	20	0	22	0	23	0	28	0	20	0
15301	1	114005	3	112020	3	112005	2	20000	4	25.9	20	0	22	0	23	0	28	0	40	12
15301	2	114006	5	112020	12	112005	12	35000	4	54.5	20	0	22	0	23	0	28	0	60	25
15301	3	114007	5	112021	15	112006	15	55000	4	84.3	20	0	22	0	23	0	28	0	80	35
15301	4	114008	5	112022	18	112007	18	75000	4	116.7	20	0	22	0	23	0	28	0	90	45
15302	0	0	0	0	0	0	0	0	4	0	20	0	22	0	23	0	28	0	20	0
15302	1	114009	3	112023	3	112011	2	20000	4	25.9	20	0	22	0	23	0	28	0	40	12
15302	2	114010	5	112023	12	112011	12	35000	4	54.5	20	0	22	0	23	0	28	0	60	25
15302	3	114011	5	112024	15	112012	15	55000	4	84.3	20	0	22	0	23	0	28	0	80	35
15302	4	114012	5	112025	18	112013	18	75000	4	116.7	20	0	22	0	23	0	28	0	90	45
15303	0	0	0	0	0	0	0	0	4	0	20	0	22	0	23	0	28	0	20	0
15303	1	114001	3	112014	3	112002	2	20000	4	25.9	20	0	22	0	23	0	28	0	40	12
15303	2	114002	5	112014	12	112002	12	35000	4	54.5	20	0	22	0	23	0	28	0	60	25
15303	3	114003	5	112015	15	112003	15	55000	4	84.3	20	0	22	0	23	0	28	0	80	35
15303	4	114004	5	112016	18	112004	18	75000	4	116.7	20	0	22	0	23	0	28	0	90	45
15304	0	0	0	0	0	0	0	0	4	0	20	0	22	0	23	0	28	0	20	0
15304	1	114017	3	112029	3	112011	2	20000	4	25.9	20	0	22	0	23	0	28	0	40	12
15304	2	114018	5	112029	12	112011	12	35000	4	54.5	20	0	22	0	23	0	28	0	60	25
15304	3	114019	5	112030	15	112012	15	55000	4	84.3	20	0	22	0	23	0	28	0	80	35
15304	4	114020	5	112031	18	112013	18	75000	4	116.7	20	0	22	0	23	0	28	0	90	45
15305	0	0	0	0	0	0	0	0	4	0	20	0	22	0	23	0	28	0	20	0
15305	1	114021	3	112026	3	112002	2	20000	4	25.9	20	0	22	0	23	0	28	0	40	12
15305	2	114022	5	112026	12	112002	12	35000	4	54.5	20	0	22	0	23	0	28	0	60	25
15305	3	114023	5	112027	15	112003	15	55000	4	84.3	20	0	22	0	23	0	28	0	80	35
15305	4	114024	5	112028	18	112004	18	75000	4	116.7	20	0	22	0	23	0	28	0	90	45
15306	0	0	0	0	0	0	0	0	4	0	20	0	22	0	23	0	28	0	20	0
15306	1	114013	3	112029	3	112008	2	20000	4	25.9	20	0	22	0	23	0	28	0	40	12
15306	2	114014	5	112029	12	112008	12	35000	4	54.5	20	0	22	0	23	0	28	0	60	25
15306	3	114015	5	112030	15	112009	15	55000	4	84.3	20	0	22	0	23	0	28	0	80	35
15306	4	114016	5	112031	18	112010	18	75000	4	116.7	20	0	22	0	23	0	28	0	90	45
15401	0	0	0	0	0	0	0	0	4	0	20	0	22	0	23	0	28	0	20	0
15401	1	114005	3	112020	3	112008	2	25000	4	34.6	20	0	22	0	23	0	28	0	40	12
15401	2	114006	5	112020	12	112008	12	45000	4	72.6	20	0	22	0	23	0	28	0	60	25
15401	3	114007	5	112021	15	112009	15	70000	4	112.4	20	0	22	0	23	0	28	0	80	35
15401	4	114008	5	112022	18	112010	18	90000	4	155.6	20	0	22	0	23	0	28	0	90	45
15402	0	0	0	0	0	0	0	0	4	0	20	0	22	0	23	0	28	0	20	0
15402	1	114009	3	112023	3	112005	2	25000	4	34.6	20	0	22	0	23	0	28	0	40	12
15402	2	114010	5	112023	12	112005	12	45000	4	72.6	20	0	22	0	23	0	28	0	60	25
15402	3	114011	5	112024	15	112006	15	70000	4	112.4	20	0	22	0	23	0	28	0	80	35
15402	4	114012	5	112025	18	112007	18	90000	4	155.6	20	0	22	0	23	0	28	0	90	45
15403	0	0	0	0	0	0	0	0	4	0	20	0	22	0	23	0	28	0	20	0
15403	1	114001	3	112014	3	112011	2	25000	4	34.6	20	0	22	0	23	0	28	0	40	12
15403	2	114002	5	112014	12	112011	12	45000	4	72.6	20	0	22	0	23	0	28	0	60	25
15403	3	114003	5	112015	15	112012	15	70000	4	112.4	20	0	22	0	23	0	28	0	80	35
15403	4	114004	5	112016	18	112013	18	90000	4	155.6	20	0	22	0	23	0	28	0	90	45
15404	0	0	0	0	0	0	0	0	4	0	20	0	22	0	23	0	28	0	20	0
15404	1	114005	3	112020	3	112002	2	25000	4	34.6	20	0	22	0	23	0	28	0	40	12
15404	2	114006	5	112020	12	112002	12	45000	4	72.6	20	0	22	0	23	0	28	0	60	25
15404	3	114007	5	112021	15	112003	15	70000	4	112.4	20	0	22	0	23	0	28	0	80	35
15404	4	114008	5	112022	18	112004	18	90000	4	155.6	20	0	22	0	23	0	28	0	90	45
15405	0	0	0	0	0	0	0	0	4	0	20	0	22	0	23	0	28	0	20	0
15405	1	114017	3	112026	3	112005	2	25000	4	34.6	20	0	22	0	23	0	28	0	40	12
15405	2	114018	5	112026	12	112005	12	45000	4	72.6	20	0	22	0	23	0	28	0	60	25
15405	3	114019	5	112027	15	112006	15	70000	4	112.4	20	0	22	0	23	0	28	0	80	35
15405	4	114020	5	112028	18	112007	18	90000	4	155.6	20	0	22	0	23	0	28	0	90	45
15406	0	0	0	0	0	0	0	0	4	0	20	0	22	0	23	0	28	0	20	0
15406	1	114021	3	112029	3	112011	2	25000	4	34.6	20	0	22	0	23	0	28	0	40	12
15406	2	114022	5	112029	12	112011	12	45000	4	72.6	20	0	22	0	23	0	28	0	60	25
15406	3	114023	5	112030	15	112012	15	70000	4	112.4	20	0	22	0	23	0	28	0	80	35
15406	4	114024	5	112031	18	112013	18	90000	4	155.6	20	0	22	0	23	0	28	0	90	45
15407	0	0	0	0	0	0	0	0	4	0	20	0	22	0	23	0	28	0	20	0
15407	1	114013	3	112026	3	112002	2	25000	4	34.6	20	0	22	0	23	0	28	0	40	12
15407	2	114014	5	112026	12	112002	12	45000	4	72.6	20	0	22	0	23	0	28	0	60	25
15407	3	114015	5	112027	15	112003	15	70000	4	112.4	20	0	22	0	23	0	28	0	80	35
15407	4	114016	5	112028	18	112004	18	90000	4	155.6	20	0	22	0	23	0	28	0	90	45
15408	0	0	0	0	0	0	0	0	4	0	20	0	22	0	23	0	28	0	20	0
15408	1	114017	3	112029	3	112008	2	25000	4	34.6	20	0	22	0	23	0	28	0	40	12
15408	2	114018	5	112029	12	112008	12	45000	4	72.6	20	0	22	0	23	0	28	0	60	25
15408	3	114019	5	112030	15	112009	15	70000	4	112.4	20	0	22	0	23	0	28	0	80	35
15408	4	114020	5	112031	18	112010	18	90000	4	155.6	20	0	22	0	23	0	28	0	90	45
15501	0	0	0	0	0	0	0	0	4	0	20	0	22	0	23	0	28	0	20	0
15501	1	114009	3	112023	3	112008	2	30000	4	46.7	20	0	22	0	23	0	28	0	40	12
15501	2	114010	5	112023	12	112008	12	55000	4	93.4	20	0	22	0	23	0	28	0	60	25
15501	3	114011	5	112024	15	112009	15	85000	4	140	20	0	22	0	23	0	28	0	80	35
15501	4	114012	5	112025	18	112010	18	110000	4	186.7	20	0	22	0	23	0	28	0	90	45
15502	0	0	0	0	0	0	0	0	4	0	20	0	22	0	23	0	28	0	20	0
15502	1	114001	3	112014	3	112005	2	30000	4	46.7	20	0	22	0	23	0	28	0	40	12
15502	2	114002	5	112014	12	112005	12	55000	4	93.4	20	0	22	0	23	0	28	0	60	25
15502	3	114003	5	112015	15	112006	15	85000	4	140	20	0	22	0	23	0	28	0	80	35
15502	4	114004	5	112016	18	112007	18	110000	4	186.7	20	0	22	0	23	0	28	0	90	45
15503	0	0	0	0	0	0	0	0	4	0	20	0	22	0	23	0	28	0	20	0
15503	1	114005	3	112020	3	112011	2	30000	4	46.7	20	0	22	0	23	0	28	0	40	12
15503	2	114006	5	112020	12	112011	12	55000	4	93.4	20	0	22	0	23	0	28	0	60	25
15503	3	114007	5	112021	15	112012	15	85000	4	140	20	0	22	0	23	0	28	0	80	35
15503	4	114008	5	112022	18	112013	18	110000	4	186.7	20	0	22	0	23	0	28	0	90	45
15504	0	0	0	0	0	0	0	0	4	0	20	0	22	0	23	0	28	0	20	0
15504	1	114021	3	112026	3	112005	2	30000	4	46.7	20	0	22	0	23	0	28	0	40	12
15504	2	114022	5	112026	12	112005	12	55000	4	93.4	20	0	22	0	23	0	28	0	60	25
15504	3	114023	5	112027	15	112006	15	85000	4	140	20	0	22	0	23	0	28	0	80	35
15504	4	114024	5	112028	18	112007	18	110000	4	186.7	20	0	22	0	23	0	28	0	90	45
15505	0	0	0	0	0	0	0	0	4	0	20	0	22	0	23	0	28	0	20	0
15505	1	114013	3	112029	3	112011	2	30000	4	46.7	20	0	22	0	23	0	28	0	40	12
15505	2	114014	5	112029	12	112011	12	55000	4	93.4	20	0	22	0	23	0	28	0	60	25
15505	3	114015	5	112030	15	112012	15	85000	4	140	20	0	22	0	23	0	28	0	80	35
15505	4	114016	5	112031	18	112013	18	110000	4	186.7	20	0	22	0	23	0	28	0	90	45
15506	0	0	0	0	0	0	0	0	4	0	20	0	22	0	23	0	28	0	20	0
15506	1	114017	3	112026	3	112002	2	30000	4	46.7	20	0	22	0	23	0	28	0	40	12
15506	2	114018	5	112026	12	112002	12	55000	4	93.4	20	0	22	0	23	0	28	0	60	25
15506	3	114019	5	112027	15	112003	15	85000	4	140	20	0	22	0	23	0	28	0	80	35
15506	4	114020	5	112028	18	112004	18	110000	4	186.7	20	0	22	0	23	0	28	0	90	45
