子任务ID	父任务ID	序列	子任务组	禁止进入联机	显示状态	[领取条件]组合	[领取条件]1类型	[领取条件]1参数1	[领取条件]1参数2	[领取条件]1参数3	[领取条件]2类型	[领取条件]2参数1	[领取条件]2参数2	[领取条件]2参数3	[领取条件]3类型	[领取条件]3参数1	[领取条件]3参数2	[领取条件]3参数3	[领取条件]4类型	[领取条件]4参数1	[领取条件]4参数2	[领取条件]4参数3	[完成条件]组合	[完成条件]1类型	[完成条件]1参数1	[完成条件]1参数2	[完成条件]1复杂参数	[完成条件]1次数	[完成条件]2类型	[完成条件]2参数1	[完成条件]2复杂参数	[完成条件]2次数	[完成条件]3类型	[完成条件]3参数1	[完成条件]3复杂参数	[完成条件]3次数	[完成条件]4类型	[完成条件]4参数1	[完成条件]4复杂参数	[完成条件]4次数	[失败条件]组合	[失败条件]1类型	[失败条件]1参数1	[失败条件]1参数2	[失败条件]1复杂参数	[失败条件]1次数	[失败条件]2类型	[失败条件]2参数1	[失败条件]2参数2	[失败条件]2复杂参数	[失败条件]2次数	[任务指引]类型	[任务指引]自动开启或关闭	[任务指引]参数1	[任务指引]参数2	[任务指引]场景ID	[任务指引]样式	[任务指引]显示层级	场景内指引	完成父任务	失败父任务	是存档点	[任务道具]ID	[任务道具]数量	[执行]1类型	[执行]1参数1	[执行]1参数2	[执行]1参数3	[执行]2类型	[执行]2参数1	[执行]2参数2	[执行]2参数3	[执行]3类型	[执行]3参数1	[执行]3参数2	[执行]3参数3	[执行]4类型	[执行]4参数1	[执行]4参数2	[执行]4参数3	[失败执行]1类型	[失败执行]1参数1	[失败执行]1参数2	[失败执行]2类型	[失败执行]2参数1	[失败执行]2参数2	[失败执行]3类型	[失败执行]3参数1	[失败执行]3参数2	[开始执行]1类型	[开始执行]1参数1	[开始执行]1参数2	[开始执行]2类型	[开始执行]2参数1	[开始执行]2参数2	[开始执行]3类型	[开始执行]3参数1	[开始执行]3参数2	独占NPC	共享NPC	独占优先级	试用角色列表	$#VersionBegin	$#VersionEnd
2003605	20036	4				1	9	21000			1	2003604	3											25	70710009																	111	100057	3								1		Event_21000_01		3	2	2							1	100057	3														14	2003602																	1521					
2003606	20036	5				1	9	21000			1	2003605	3											2	2003603																											2		1521		3	3	2		1		1			24	21000																																	1521					
2003701	20037	1					9	21100																6	1143																											2		155301		3	1	2				1																																					155301,1521					
2003702	20037	2				1	9	21100			1	2003701	3											2	2003701																											2		155301		3	2	2				1	100348	1																																			155301,1521					
2003703	20037	3				1	9	21100			1	2003702	3											2	2003703																											2		1521		3	2	2																																									155301,1521					
2003704	20037	4			1	1	9	21100			1	99902	3																																																																																											
2003705	20037	5			1	1	9	21100			1	99902	3																																																																																											
2003706	20037	6				1	9	21100			1	2003703	3											2	2003705																											2		155301		3	3	2		1		1	100057	3	24	21100																																	155301,1521					
2003707	20037	7			1	1	9	21100			1	99902	3																																																																																											
2003801	20038	1					9	20900																2	2003801																											2		1473		1008	1	1				1																																					1473					
2003802	20038	2			1	1	9	20900			1	2003801	3											4	2003802																	8	2003802																																																								1473					
2003803	20038	2			1	1	9	20900			1	2003801	3											4	2003803																	8	2003803																																																													
2003804	20038	2			1	1	9	20900			1	2003801	3											4	2003804																	8	2003804																																																													
2003805	20038	3				1	9	20900			1	2003802	3											20			133003487	1																								1		Event_20900_01		3	2	2				1																												27	3	133003487,2,3,4												
2003806	20038	3				1	9	20900			1	2003803	3											20			133001316	1																								1		Event_20900_02		3	2	2				1																												27	3	133001316,2,3,4												
2003807	20038	3				1	9	20900			1	2003804	3											20			133002293	1																								1		Event_20900_03		3	2	2				1																												27	3	133002293,2,3,4												
2003808	20038	4				1	9	20900			1	2003805	3											2	2003803																											2		1473		1008	3	2		1		1			24	20900																																	1473					
2003809	20038	4				1	9	20900			1	2003806	3											2	2003803																											2		1473		1008	3	2		1		1			24	20900																																						
2003810	20038	4				1	9	20900			1	2003807	3											2	2003803																											2		1473		1008	3	2		1		1			24	20900																																						
2003901	20039	1					9	21200																2	2003901																											2		1587		3	1	1																																									1587					
2003902	20039	3			1	1	9	21200			1	2003901	3											2	2003902																																																																															
2003903	20039	4			1	1	9	21200			1	2003901	3											2	2003903																																																																															
2003904	20039	2			1	1	9	21200			1	2003901	3											4	2003904																	8	2003904																																																													
2003905	20039	2			1	1	9	21200			1	2003901	3											4	2003905																	8	2003905																																																													
2003906	20039	2			1	1	9	21200			1	2003901	3											4	2003906																	8	2003906																																																													
2003907	20039	7				1	9	21200			1	2003904	3											4	2003907																																					1																																					1587					
2003908	20039	8				1	9	21200			1	2003905	3											4	2003908																																					1																																					1587					
2003909	20039	9				1	9	21200			1	2003906	3											4	2003909																																					1																																					1587					
2003910	20039	10			1	1	9	21200			1	2003903	3											4	2003910																																																																															
2003911	20039	11			1	1	9	21200			1	2003903	3											4	2003911																																																																															
2003912	20039	12			1	1	9	21200			1	2003903	3											4	2003912																																																																															
2003913	20039	13				1	9	21200			1	2003910	3											4	2003913																																					1																																					1587					
2003914	20039	14				1	9	21200			1	2003911	3											4	2003914																																					1																																					1587					
2003915	20039	15				1	9	21200			1	2003912	3											4	2003915																																					1																																					1587					
2003916	20039	16				1	9	21200			1	2003907	3											2	2003910																	111	111017	1								2		1587		3	3	2		1		1			24	21200			1	111017	1		33	0							14	2003907																	1587					
2003917	20039	17				1	9	21200			1	2003908	3											2	2003911																	111	111015	1								2		1587		3	3	2		1		1			24	21200			1	111015	1		33	1							14	2003908																	1587					
2003918	20039	18				1	9	21200			1	2003909	3											2	2003912																	111	111013	1								2		1587		3	3	2		1		1			24	21200			1	111013	1		33	2							14	2003909																	1587					
2003919	20039	19				1	9	21200			1	2003913	3											2	2003913																	111	112015	1								2		1587		3	3	2		1		1			24	21200			1	112015	1		33	3							14	2003913																	1587					
2003920	20039	20				1	9	21200			1	2003914	3											2	2003914																	111	112006	1								2		1587		3	3	2		1		1			24	21200			1	112006	1		33	3							14	2003914																	1587					
2003921	20039	21				1	9	21200			1	2003915	3											2	2003915																	111	112003	1								2		1587		3	3	2		1		1			24	21200			1	112003	1		33	3							14	2003915																	1587					
2003922	20039	22			1	1	9	21200			1	2003904	3		3	111017	1							4	2003907																																					1																																										
2003923	20039	23			1	1	9	21200			1	2003905	3		3	111015	1							4	2003908																																					1																																										
2003924	20039	24			1	1	9	21200			1	2003906	3		3	111013	1							4	2003909																																					1																																										
2003925	20039	25			1	1	9	21200			1	2003910	3		3	112015	1							4	2003913																																					1																																										
2003926	20039	26			1	1	9	21200			1	2003911	3		3	112006	1							4	2003914																																					1																																										
2003927	20039	27			1	1	9	21200			1	2003912	3		3	112003	1							4	2003915																																					1																																										
2004001	20040	1					9	20600																2	2004001																											2		158101		3	1	1				1			19	3	133003305,2																																158101					
2004002	20040	2				1	9	20600			1	2004001	3											20			133003305	1																								1		Event_20600_03	20	3	2	2																																									158101					
2004003	20040	3				1	9	20600			1	2004002	3											2	2004002																											2		158101		3	2	2				1																																					158101					
2004004	20040	4				1	9	20600			1	2004003	3											4	2004004																											2		158101		3	2	2																																									158101					
2004007	20040	5				1	9	20600			1	2004004	3											2	2004004																											2		158101		3	3	2		1		1			19	3	133003305,1		24	20600																													158101					
2004101	20041	1					9	21300																2	2004101																											2		1589		3	1	1				1																																					1589					
2004102	20041	2				1	9	21300			1	2004101	3											20			133003489	1																								1		Event_21300_01	30	3	2	2				1																			19	3	133003489,1							19	3	133003489,2							1589					
2004103	20041	3				1	9	21300			1	2004102	3											2	2004103																											2		1589		3	3	2		1		1			19	3	133003489,1		24	21300																													1589					
2004401	20044	1					9	21600																2	2004401																											2		1605		3	1	1				1																												19	3	133004270,1							1605					
2004402	20044	2				1	9	21600			1	2004401	3											20			133004270	1														20			13300427001	1						1		Event_21600_01	10	3	2	2				1																			19	3	133004270,1	14	2004402					19	3	133004270,2							1605					
2004403	20044	3				1	9	21600			1	2004402	3											2	2004403																											2		1605		3	3	2		1		1			19	3	133004270,1		24	21600											19	3	133004270,1																1605					
2004801	20048	1					9	21700																2	2004801																											2		1567		3	1	1				1																												19	3	133003491,1	19	3	133003494,2				1567					
2004802	20048	2				1	9	21700			1	2004801	3											4	2004802																																					1																																										
2004803	20048	3				1	9	21700			1	2004801	3		3	100017	3							2	2004802																	111	100017	3								2		1567		3	2	2							19	3	133003491,2														14	2004802																	1567					
2004804	20048	4				1	9	21700			1	2004803	3											25	70710009																	111	100017	3								1		Event_21700_01		3	2	2							1	100017	3														14	2004802																	1567					
2004805	20048	5				1	9	21700			1	2004804	3											2	2004803																	20			13300349101	1						2		1567		3	3	2		1		1			24	21700			19	3	133003491,1		33	1																15	3	133003491							1567					
2004806	20048	6				1	9	21700			1	2004805	4											2	2004806																											2		1567		3	3	2		1		1			24	21700			19	3	133003491,1																												1567					
2005001	20050	1					9	21601																2	2005001																											2		1605		3	1	1				1																												19	3	133004270,1							1605					
2005002	20050	2				1	9	21601			1	2005001	3											20			133004270	1														20			13300427001	1						1		Event_21600_01	10	3	2	2				1																			19	3	133004270,1	14	2005002					19	3	133004270,3							1605					
2005003	20050	3				1	9	21601			1	2005002	3											2	2005003																											2		1605		3	3	2		1		1			19	3	133004270,1		24	21601											19	3	133004270,1																1605					
2005101	20051	1				1	9	22000																2	2005101																											2		1465		1009	1	1	0			1																																					1465,140301,143101,153701,141301,1403,1431,1537,1413,1404,1414					
2005102	20051	2				1	9	22000			1	2005101	3										2	2	2005106																	24	200516601									2		1461		3	2	2	0			1																																										
2005103	20051	3			1	1	9	22000			1	2005166	2											2	2005156																	8	2005103																			1	100357	1																																								
2005104	20051	4			1	1	9	22000			1	2005166	2											2	2005157																	8	2005104																			1	100358	1																																								
2005105	20051	5			1	1	9	22000			1	2005166	2											2	2005158																	8	2005105																			1	100360	1																																								
2005106	20051	6			1	1	9	22000			1	2005166	2											2	2005159																	8	2005106																			1	100359	1																																								
2005116	20051	7				1	9	22000			1	99902	3											24	200516601																											2		1403		3	2	2																																														
2005117	20051	8				1	9	22000			1	99902	3											24	200516601																											2		1431		3	2	2																																														
2005118	20051	9				1	9	22000			1	2005102	3											24	200516601																											2		1537		3	2	2																																														
2005119	20051	10				1	9	22000			1	99902	3											24	200516601																											2		1413		3	2	2																																														
2005166	20051	11			1	1	9	22000			1	2005101	3											24	200516601			1																																		1																																					1465,140301,143101,153701,141301,1403,1431,1537,1413,1404,1414					
2005108	20051	12			1	1	9	22000			1	2005101	3											4	2005108																																					1			23	200516601	1																																					
2005109	20051	13			1	1	9	22000			1	2005101	3											4	2005109																																					1			23	200516601	1																																					
2005110	20051	14			1	1	9	22000			1	2005101	3											4	2005110																																					1			23	200516601	1																																					
2005111	20051	15			1	1	9	22000			1	2005101	3											4	2005111																																					1			23	200516601	1																																					
2005112	20051	16			1	1	9	22000			1	2005101	3											4	2005112																																					1																																										
2005113	20051	17			1	1	9	22000			1	2005101	3											4	2005113																																					1																																										
2005114	20051	18			1	1	9	22000			1	2005101	3											4	2005114																																					1																																										
2005115	20051	19			1	1	9	22000			1	2005101	3											4	2005115																																					1																																										
2005124	20051	20				1	9	22000			1	2005166	3											27	2005124																											2		1465		1009	2	2	0			1																												28	2005124								1465,140301,143101,153701,141301,1403,1431,1537,1413,1404,1414					
2005125	20051	21				1	9	22000			1	2005124	3											2	2005117																											2		1465		1009	2	2	0																																								1465,140301,143101,153701,141301,1403,1431,1537,1413,1404,1414					
2005107	20051	22			1	1	9	22000			1	2005166	3											2	2005167																																					1																																										
2005120	20051	23				1	9	22000			1	2005125	3											2	2005167																											2		1465		1009	2	2	0			1																																										
2005121	20051	24			1	1	9	22000			1	99902	3																																																																																											
2005122	20051	25			1	1	9	22000			1	99902	3																																																																																											
2005123	20051	26			1	1	9	22000			1	99902	3																																																																																											
2005137	20051	27				1	9	22000			1	2005107	3											24	200513701			4																								2		1465		1009	2	2	0			1																												23	200516601	1							1465,140301,143101,153701,141301,1403,1431,1537,1413,1404,1414					
2005138	20051	28			1	1	9	22000			1	2005137	2											2	2005134																																																																															
2005139	20051	29			1	1	9	22000			1	2005137	2											2	2005135																																																																															
2005140	20051	30			1	1	9	22000			1	2005137	2											2	2005136																																																																															
2005141	20051	31			1	1	9	22000			1	2005137	2											2	2005137																																																																															
2005142	20051	32			1	1	9	22000			1	2005137	2											2	2005138																																					1																																										
2005143	20051	33			1	1	9	22000			1	2005142	3											2	2005140																																					1																																										
2005144	20051	34			1	1	9	22000			1	2005142	3											2	2005139																																					1			29	100316,100317,100318,100319,100320,100321,100322,100323,100324,100325,100326,100327,100328,100329,100330,100331,100332,100333,100334,100335,100336,100337,100338,100339,100340,100341,100342,100343,100344,100345,100346,100347																																						
2005163	20051	35			1	1	9	22000			1	2005144	2											4	2005163																																								14	2005137																																						
2005145	20051	36			1	1	9	22000			1	2005144	2											2	2005140																																								23	200513701	1																																					
2005146	20051	37			1	1	9	22000			1	2005144	2											2	2005141																																								23	200513701	1																																					
2005147	20051	38			1	1	9	22000			1	2005144	2											2	2005142																																								23	200513701	1																																					
2005148	20051	39			1	1	9	22000			1	2005144	2											2	2005143																																								23	200513701	1																																					
2005164	20051	40			1	1	9	22000			1	2005144	2											2	2005155																																																																															
2005165	20051	41			1	1	9	22000			1	2005164	3		1	2005137	2																																																14	2005144																																						
2005149	20051	42				1	9	22000			1	2005137	3											2	2005154																	2	2005153									2		1465		1009	2	2	0																						29	100316,100317,100318,100319,100320,100321,100322,100323,100324,100325,100326,100327,100328,100329,100330,100331,100332,100333,100334,100335,100336,100337,100338,100339,100340,100341,100342,100343,100344,100345,100346,100347		14	2005137					29	100316,100317,100318,100319,100320,100321,100322,100323,100324,100325,100326,100327,100328,100329,100330,100331,100332,100333,100334,100335,100336,100337,100338,100339,100340,100341,100342,100343,100344,100345,100346,100347													
2005150	20051	43			1	1	9	22000			1	2005149	3											24	200515001			1																																		1			29	100316,100317,100318,100319,100320,100321,100322,100323,100324,100325,100326,100327,100328,100329,100330,100331,100332,100333,100334,100335,100336,100337,100338,100339,100340,100341,100342,100343,100344,100345,100346,100347															29	100316,100317,100318,100319,100320,100321,100322,100323,100324,100325,100326,100327,100328,100329,100330,100331,100332,100333,100334,100335,100336,100337,100338,100339,100340,100341,100342,100343,100344,100345,100346,100347																						
2005151	20051	44				1	9	22000			1	2005149	3		1	2005108	3							24	200515001			1																								2		140301		1009	2	2	0			1			29	100316,100317,100318,100319,100320,100321,100322,100323,100324,100325,100326,100327,100328,100329,100330,100331,100332,100333,100334,100335,100336,100337,100338,100339,100340,100341,100342,100343,100344,100345,100346,100347															29	100316,100317,100318,100319,100320,100321,100322,100323,100324,100325,100326,100327,100328,100329,100330,100331,100332,100333,100334,100335,100336,100337,100338,100339,100340,100341,100342,100343,100344,100345,100346,100347																	1465,140301,143101,153701,141301,1403,1431,1537,1413,1404,1414					
2005152	20051	45				1	9	22000			1	2005149	3		1	2005109	3							24	200515001			1																								2		143101		1009	2	2	0			1			29	100316,100317,100318,100319,100320,100321,100322,100323,100324,100325,100326,100327,100328,100329,100330,100331,100332,100333,100334,100335,100336,100337,100338,100339,100340,100341,100342,100343,100344,100345,100346,100347															29	100316,100317,100318,100319,100320,100321,100322,100323,100324,100325,100326,100327,100328,100329,100330,100331,100332,100333,100334,100335,100336,100337,100338,100339,100340,100341,100342,100343,100344,100345,100346,100347																	1465,140301,143101,153701,141301,1403,1431,1537,1413,1404,1414					
2005153	20051	46				1	9	22000			1	2005149	3		1	2005110	3							24	200515001			1																								2		153701		1009	2	2	0			1			29	100316,100317,100318,100319,100320,100321,100322,100323,100324,100325,100326,100327,100328,100329,100330,100331,100332,100333,100334,100335,100336,100337,100338,100339,100340,100341,100342,100343,100344,100345,100346,100347															29	100316,100317,100318,100319,100320,100321,100322,100323,100324,100325,100326,100327,100328,100329,100330,100331,100332,100333,100334,100335,100336,100337,100338,100339,100340,100341,100342,100343,100344,100345,100346,100347																	1465,140301,143101,153701,141301,1403,1431,1537,1413,1404,1414					
2005154	20051	47				1	9	22000			1	2005149	3		1	2005111	3							24	200515001			1																								2		141301		1009	2	2	0			1			29	100316,100317,100318,100319,100320,100321,100322,100323,100324,100325,100326,100327,100328,100329,100330,100331,100332,100333,100334,100335,100336,100337,100338,100339,100340,100341,100342,100343,100344,100345,100346,100347															29	100316,100317,100318,100319,100320,100321,100322,100323,100324,100325,100326,100327,100328,100329,100330,100331,100332,100333,100334,100335,100336,100337,100338,100339,100340,100341,100342,100343,100344,100345,100346,100347																	1465,140301,143101,153701,141301,1403,1431,1537,1413,1404,1414					
2005155	20051	48				1	9	22000			1	2005149	3		1	2005112	3							24	200515001			1																								2		1465		1009	2	2	0			1			29	100316,100317,100318,100319,100320,100321,100322,100323,100324,100325,100326,100327,100328,100329,100330,100331,100332,100333,100334,100335,100336,100337,100338,100339,100340,100341,100342,100343,100344,100345,100346,100347															29	100316,100317,100318,100319,100320,100321,100322,100323,100324,100325,100326,100327,100328,100329,100330,100331,100332,100333,100334,100335,100336,100337,100338,100339,100340,100341,100342,100343,100344,100345,100346,100347																						
2005156	20051	49				1	9	22000			1	2005149	3		1	2005113	3							24	200515001			1																								2		1465		1009	2	2	0			1			29	100316,100317,100318,100319,100320,100321,100322,100323,100324,100325,100326,100327,100328,100329,100330,100331,100332,100333,100334,100335,100336,100337,100338,100339,100340,100341,100342,100343,100344,100345,100346,100347															29	100316,100317,100318,100319,100320,100321,100322,100323,100324,100325,100326,100327,100328,100329,100330,100331,100332,100333,100334,100335,100336,100337,100338,100339,100340,100341,100342,100343,100344,100345,100346,100347																						
2005157	20051	50				1	9	22000			1	2005149	3		1	2005114	3							24	200515001			1																								2		1465		1009	2	2	0			1			29	100316,100317,100318,100319,100320,100321,100322,100323,100324,100325,100326,100327,100328,100329,100330,100331,100332,100333,100334,100335,100336,100337,100338,100339,100340,100341,100342,100343,100344,100345,100346,100347															29	100316,100317,100318,100319,100320,100321,100322,100323,100324,100325,100326,100327,100328,100329,100330,100331,100332,100333,100334,100335,100336,100337,100338,100339,100340,100341,100342,100343,100344,100345,100346,100347																						
2005159	20051	51				1	9	22000			1	2005149	3		1	2005115	3							24	200515001			1																								2		1465		1009	2	2	0			1			29	100316,100317,100318,100319,100320,100321,100322,100323,100324,100325,100326,100327,100328,100329,100330,100331,100332,100333,100334,100335,100336,100337,100338,100339,100340,100341,100342,100343,100344,100345,100346,100347															29	100316,100317,100318,100319,100320,100321,100322,100323,100324,100325,100326,100327,100328,100329,100330,100331,100332,100333,100334,100335,100336,100337,100338,100339,100340,100341,100342,100343,100344,100345,100346,100347																						
2005170	20051	52			1	1	9	22000			1	2005149	3		1	2005108	3							119	1	1																																				1			33	2			23	200515001	1																																	
2005171	20051	53			1	1	9	22000			1	2005149	3		1	2005108	3							119	1	2																																				1			33	6			23	200515001	1																																	
2005172	20051	54			1	1	9	22000			1	2005149	3		1	2005108	3							119	1	3																																				1			33	10			23	200515001	1																																	
2005173	20051	55			1	1	9	22000			1	2005149	3		1	2005108	3							119	1	4																																				1			33	14			23	200515001	1																																	
2005174	20051	56			1	1	9	22000			1	2005149	3		1	2005108	3							119	1	5																																				1			33	14			23	200515001	1																																	
2005175	20051	57			1	1	9	22000			1	2005149	3		1	2005109	3							119	1	1																																				1			33	1			23	200515001	1																																	
2005176	20051	58			1	1	9	22000			1	2005149	3		1	2005109	3							119	1	2																																				1			33	5			23	200515001	1																																	
2005177	20051	59			1	1	9	22000			1	2005149	3		1	2005109	3							119	1	3																																				1			33	9			23	200515001	1																																	
2005178	20051	60			1	1	9	22000			1	2005149	3		1	2005109	3							119	1	4																																				1			33	13			23	200515001	1																																	
2005179	20051	61			1	1	9	22000			1	2005149	3		1	2005109	3							119	1	5																																				1			33	13			23	200515001	1																																	
2005180	20051	62			1	1	9	22000			1	2005149	3		1	2005110	3							119	1	1																																				1			33	4			23	200515001	1																																	
2005181	20051	63			1	1	9	22000			1	2005149	3		1	2005110	3							119	1	2																																				1			33	8			23	200515001	1																																	
2005182	20051	64			1	1	9	22000			1	2005149	3		1	2005110	3							119	1	3																																				1			33	12			23	200515001	1																																	
2005183	20051	65			1	1	9	22000			1	2005149	3		1	2005110	3							119	1	4																																				1			33	16			23	200515001	1																																	
2005184	20051	66			1	1	9	22000			1	2005149	3		1	2005110	3							119	1	5																																				1			33	16			23	200515001	1																																	
2005185	20051	67			1	1	9	22000			1	2005149	3		1	2005111	3							119	1	1																																				1			33	3			23	200515001	1																																	
2005186	20051	68			1	1	9	22000			1	2005149	3		1	2005111	3							119	1	2																																				1			33	7			23	200515001	1																																	
2005187	20051	69			1	1	9	22000			1	2005149	3		1	2005111	3							119	1	3																																				1			33	11			23	200515001	1																																	
2005188	20051	70			1	1	9	22000			1	2005149	3		1	2005111	3							119	1	4																																				1			33	15			23	200515001	1																																	
2005189	20051	71			1	1	9	22000			1	2005149	3		1	2005111	3							119	1	5																																				1			33	15			23	200515001	1																																	
2005158	20051	72				1	9	22000			1	2005150	3											2	2005150																											2		1465		1009	3	2	0	1		1			24	22000															29	100316,100317,100318,100319,100320,100321,100322,100323,100324,100325,100326,100327,100328,100329,100330,100331,100332,100333,100334,100335,100336,100337,100338,100339,100340,100341,100342,100343,100344,100345,100346,100347																	1465,140301,143101,153701,141301,1403,1431,1537,1413,1404,1414					
2005201	20052	1					9	20203																20			1330035041																									1		Q20052Test 	30	3	1	2				1																												19	3	133003504,2												
2005202	20052	2				1	9	20203			1	2005201	3											20			1330035042																									1		Q20052Test 	30	3	2	2				1																												19	3	133003504,3												
2005203	20052	3				1	9	20203			1	2005202	3											20			1330035043																									1		Q20052Test 	30	3	3	2		1		1																												19	3	133003504,4												
2005301	20053	1					9	21602																2	2005301																											2		1605		3	1	1				1																												19	3	133004270,1							1605					
2005302	20053	2				1	9	21602			1	2005301	3											20			133004270	1														20			13300427001	1						1		Event_21600_01	30	3	2	2				1																			19	3	133004270,1	14	2005302					19	3	133004270,4							1605					
2005303	20053	3				1	9	21602			1	2005302	3											2	2005303																											2		1605		3	3	2		1		1			19	3	133004270,1		24	21602											19	3	133004270,1																1605					
2005401	20054	1					9	22100																2	20054011																											2		1441		3	1	1				1	100356	1																										1	100356	1							1441,1533					
2005402	20054	2			1	1	9	22100			1	2005401	3											4	2005402																	8	2005402																																						1	100356	1																					
2005403	20054	2			1	1	9	22100			1	2005401	3											4	2005403																	8	2005403																																						1	100356	1																					
2005404	20054	2			1	1	9	22100			1	2005401	3											4	2005404																	8	2005404																																						1	100356	1																					
2005405	20054	2			1	1	9	22100			1	2005401	3											4	2005405																	8	2005405																																						1	100356	1																					
2005406	20054	2			1	1	9	22100			1	2005401	3											4	2005406																	8	2005406																																						1	100356	1																					
2005407	20054	3				1	9	22100			1	2005402	3											5	112011			1																																		1																			1	100356	1																					
2005408	20054	4				1	9	22100			1	2005403	3											5	112005			1																																		1																			1	100356	1																					
2005409	20054	5				1	9	22100			1	2005404	3											5	112002			1																																		1																			1	100356	1																					
2005410	20054	6				1	9	22100			1	2005405	3											5	112008			1																																		1																			1	100356	1																					
2005411	20054	7				1	9	22100			1	2005406	3											5	112014			1																																		1																			1	100356	1																					
2005412	20054	8				1	9	22100			1	2005407	3											2	20054071																											2		1533		3	3	1		1		1			24	22100			1	100356	1		33	0							1	100356	1																1441,1533					
2005413	20054	9				1	9	22100			1	2005408	3											2	20054081																											2		1533		3	3	1		1		1			24	22100			1	100356	1		33	1							1	100356	1																1441,1533					
2005414	20054	10				1	9	22100			1	2005409	3											2	20054091																											2		1533		3	3	1		1		1			24	22100			1	100356	1		33	2							1	100356	1																1441,1533					
2005415	20054	11				1	9	22100			1	2005410	3											2	20054101																											2		1533		3	3	1		1		1			24	22100			1	100356	1		33	3							1	100356	1																1441,1533					
2005416	20054	12				1	9	22100			1	2005411	3											2	20054111																											2		1533		3	3	1		1		1			24	22100			1	100356	1		33	4							1	100356	1																1441,1533					
2005417	20054	1			1	1	9	22100			1	2005401	3											2	20054121																											2		1441		3	1	1																							1	100356	1																					
2005801	20058	1					9	22200																2	2005801																											2		1601		3	1	1																																									1601					
2005802	20058	2				1	9	22200			1	2005801	3											2	2005802																											2		160101		3	2	2				1																																					1601,160101					
2005808	20058	3			1	1	9	22200																4	2005808																																					1																																										
2005809	20058	4			1	1	9	22200			24	0	1											4	2005809																																																																										1601,160101					
2005803	20058	5				1	9	22200			1	2005809	3											20			13300427501	1														20			13300427502	1																																												15	3	133004275												
2005804	20058	6				1	9	22200			1	2005803	3										2	2	2005805				2	2005811												2	2005806									2		160101		3	3	2		1		1			24	22200															14	2005808																	1601,160101					
2005805	20058	7				1	9	22200			1	2005803	4											2	2005806																											2		160101		3	2	2				1			14	2005808																																	1601,160101					
2005810	20058	8			1	1	9	22200																4	2005810																																					1																																										
2005811	20058	9			1	1	9	22200																4	2005811																																					1																																										
2005812	20058	10			1	1	9	22200																4	2005812																																					1																																										
2005901	20059	1					9	22900																2	2005901																											2		1435		3	1	1				1																																					1435,1413,141301					
2005902	20059	2				1	9	22900			1	2005901	3											2	2005902																											2		1435		3	2	2				1																																					1435,1413,141301					
2005903	20059	3			1	1	9	22900			1	2005902	3											24	200590301			1																																		1																																										
2005920	20059	4				1	9	22900			1	2005903	2		24	0	20							27	2005920																											2		1435		3	2	2				1			23	200590301	1																							28	2005920								1435,1413,141301					
2005904	20059	5			1	1	9	22900			1	2005903	3											4	2005904																																																																															
2005905	20059	6			1	1	9	22900			1	2005903	3											24	200590501			1																																																																												
2005906	20059	7			1	1	9	22900			1	2005905	2											4	2005906																																								23	200590501	1																																					
2005907	20059	8			1	1	9	22900			1	2005905	2											4	2005907																																								23	200590501	1																																					
2005908	20059	9			1	1	9	22900			1	2005905	2											4	2005908																																								23	200590501	1																																					
2005930	20059	10			1	1	9	22900			1	2005905	2		24	1	1							4	2005930																																								23	200590901	1																																					
2005950	20059	11			1	1	9	22900			1	2005905	2		24	1	1							4	2005950																																								23	200590901	1																																					
2005970	20059	12			1	1	9	22900			1	2005905	2		24	1	1							4	2005970																																								23	200590901	1																																					
2005990	20059	13			1	1	9	22900			1	2005905	2		24	1	1							4	2005990																																								23	200590901	1																																					
2005910	20059	14			1	1	9	22900			1	2005905	3											4	2005910																																																																															
2005999	20059	15			1	1	9	22900																4	2005999																																																																															
2005909	20059	16				1	9	22900			1	2005905	3											24	200590901			1																								2		1435		3	3	2		1		1			24	22900																																	1435,1413,141301					
2006001	20060	1					9	22500																2	2006001																											2		1533		3	1	2				1																												28	2006008								1533,1473					
2006002	20060	2	1			1	9	22500			1	2006001	3		8	100012	3							5	100012			3																								1		Q20060	25	3	2	2							23	200600501	1																																					
2006003	20060	3			1	1	9	22500			1	99902	3											2	2006003																																								23	200600501	1																																					
2006004	20060	4			1	1	9	22500			1	2006001	3		3	100012	3																																																23	200600501	1																																					
2006005	20060	5			1	1	9	22500			1	2006001	3											24	200600501			1																																																																							1533,1473					
2006006	20060	6			1	1	9	22500			1	2006005	3											2	2006005																																																																															
2006007	20060	7			1	1	9	22500			1	99902	3											2	2006006																																																																															
2006008	20060	8				1	9	22500			1	2006005	3											27	2006008																											2		1473		1008	2	2				1																																					1533,1473					
2006009	20060	9			1	1	9	22500			1	2006008	3											2	2006008																																					1	100351	1																																			1533,1473					
2006010	20060	10				1	9	22500			1	2006009	3											2	2006009																											2		1533		3	3	2		1		1			29	100351			24	22500											29	100351																	1533,1473					
2006101	20061	1					9	22700																2	2006101																											2		1537		3	1	1				1			19	3	133002310,2														19	3	133002310,1	19	3	133002313,1	19	3	133002313,1										1537					
2006102	20061	2				1	9	22700			1	2006101	3											6	1152																											1		Q20061Des01	20	3	4	2				1																			19	3	133002310,1	19	3	133002313,1	19	3	133002313,1										1537					
2006103	20061	2			1	1	9	22700			1	2006101	3											4	2006103																	8	2006103																																																													
