等级	[曲线]1类型	[曲线]1运算	[曲线]1值	[曲线]2类型	[曲线]2运算	[曲线]2值	[曲线]3类型	[曲线]3运算	[曲线]3值	[曲线]4类型	[曲线]4运算	[曲线]4值	[曲线]5类型	[曲线]5运算	[曲线]5值	[曲线]6类型	[曲线]6运算	[曲线]6值	[曲线]7类型	[曲线]7运算	[曲线]7值	[曲线]8类型	[曲线]8运算	[曲线]8值	[曲线]9类型	[曲线]9运算	[曲线]9值	[曲线]10类型	[曲线]10运算	[曲线]10值	[曲线]11类型	[曲线]11运算	[曲线]11值	[曲线]12类型	[曲线]12运算	[曲线]12值	[曲线]13类型	[曲线]13运算	[曲线]13值	[曲线]14类型	[曲线]14运算	[曲线]14值	[曲线]15类型	[曲线]15运算	[曲线]15值	[曲线]16类型	[曲线]16运算	[曲线]16值	[曲线]17类型	[曲线]17运算	[曲线]17值	[曲线]18类型	[曲线]18运算	[曲线]18值
80	1101	2	6.859	1102	2	7.802	1103	2	9.537	1104	2	5.866	1105	2	5.347	2101	2	4.289	1201	2	8.075	1202	2	9.089	1203	2	10.939	1204	2	7	1205	2	6.434	2201	2	4.289	1301	2	9.242	1302	2	10.453	1303	2	12.618	1304	2	7.938	1305	2	7.244	2301	2	4.289
81	1101	2	6.956	1102	2	7.921	1103	2	9.697	1104	2	5.939	1105	2	5.408	2101	2	4.289	1201	2	8.197	1202	2	9.235	1203	2	11.129	1204	2	7.096	1205	2	6.517	2201	2	4.289	1301	2	9.388	1302	2	10.627	1303	2	12.843	1304	2	8.053	1305	2	7.342	2301	2	4.289
82	1101	2	7.053	1102	2	8.039	1103	2	9.856	1104	2	6.013	1105	2	5.469	2101	2	4.289	1201	2	8.319	1202	2	9.381	1203	2	11.318	1204	2	7.193	1205	2	6.601	2201	2	4.289	1301	2	9.533	1302	2	10.801	1303	2	13.068	1304	2	8.167	1305	2	7.44	2301	2	4.289
83	1101	2	7.149	1102	2	8.158	1103	2	10.016	1104	2	6.086	1105	2	5.53	2101	2	4.289	1201	2	8.441	1202	2	9.527	1203	2	11.508	1204	2	7.29	1205	2	6.684	2201	2	4.289	1301	2	9.678	1302	2	10.975	1303	2	13.294	1304	2	8.281	1305	2	7.538	2301	2	4.289
84	1101	2	7.246	1102	2	8.277	1103	2	10.175	1104	2	6.159	1105	2	5.591	2101	2	4.289	1201	2	8.564	1202	2	9.673	1203	2	11.698	1204	2	7.387	1205	2	6.768	2201	2	4.289	1301	2	9.823	1302	2	11.149	1303	2	13.519	1304	2	8.396	1305	2	7.636	2301	2	4.289
85	1101	2	7.342	1102	2	8.395	1103	2	10.335	1104	2	6.233	1105	2	5.652	2101	2	4.633	1201	2	8.686	1202	2	9.819	1203	2	11.887	1204	2	7.483	1205	2	6.851	2201	2	4.633	1301	2	9.969	1302	2	11.323	1303	2	13.744	1304	2	8.51	1305	2	7.733	2301	2	4.633
86	1101	2	7.439	1102	2	8.514	1103	2	10.494	1104	2	6.306	1105	2	5.713	2101	2	4.633	1201	2	8.808	1202	2	9.965	1203	2	12.077	1204	2	7.58	1205	2	6.935	2201	2	4.633	1301	2	10.114	1302	2	11.497	1303	2	13.969	1304	2	8.624	1305	2	7.831	2301	2	4.633
87	1101	2	7.536	1102	2	8.633	1103	2	10.654	1104	2	6.379	1105	2	5.774	2101	2	4.633	1201	2	8.93	1202	2	10.111	1203	2	12.267	1204	2	7.677	1205	2	7.018	2201	2	4.633	1301	2	10.259	1302	2	11.671	1303	2	14.195	1304	2	8.738	1305	2	7.929	2301	2	4.633
88	1101	2	7.632	1102	2	8.752	1103	2	10.813	1104	2	6.452	1105	2	5.835	2101	2	4.633	1201	2	9.052	1202	2	10.257	1203	2	12.456	1204	2	7.774	1205	2	7.102	2201	2	4.633	1301	2	10.404	1302	2	11.845	1303	2	14.42	1304	2	8.853	1305	2	8.027	2301	2	4.633
89	1101	2	7.729	1102	2	8.87	1103	2	10.973	1104	2	6.526	1105	2	5.896	2101	2	4.633	1201	2	9.174	1202	2	10.403	1203	2	12.646	1204	2	7.871	1205	2	7.185	2201	2	4.633	1301	2	10.55	1302	2	12.019	1303	2	14.645	1304	2	8.967	1305	2	8.125	2301	2	4.633
90	1101	2	7.825	1102	2	8.989	1103	2	11.132	1104	2	6.599	1105	2	5.957	2101	2	5	1201	2	9.296	1202	2	10.549	1203	2	12.836	1204	2	7.967	1205	2	7.269	2201	2	5	1301	2	10.695	1302	2	12.193	1303	2	14.87	1304	2	9.081	1305	2	8.223	2301	2	5
