ID	类型	重量	排序权重	物件ID	可丢弃	使用等级	全局产出上限	数值用类型	材料类型	冷却时间	冷却组	堆叠上限	最大使用数量	获得即使用	禁止提示第一次获得	目标	[使用]1操作	[使用]1参数1	[使用]1参数2	[使用]1参数3	[使用]2操作	[使用]2参数1	[使用]2参数2	阶数	自动进包	是否分开掉落	$#VersionBegin	$#VersionEnd
104318	2	1	127	70600054				天赋书	14			2000												4				
105001	2	1	6	70600011					13			1000												1				
105002	2	1	6	70600012					13			1000												2				
105003	2	1	6	70600013					13			1000												3				
105004	2	1	6	70600014					13			1000												4				
106000	2	1	406	70900001	1				5	1	5	10	1			2	7	20										0.1
106001	2	1	406	70900001	1				5	1	5	10	1			2	8	20										0.1
107001	2	0	6	70590004	0			元素神瞳	10			2000													1			
107002	2	0	406	70590004	0				5			2000		1	1	2	12	20										
107003	2	0	6	70590021	0			元素神瞳	10			2000													1			
107004	2								12			1000	99	1			20	1000100						3				
107005	2								12			1	1	1										3				0.1
107006	2	0	406	70600055	0			地灵龛钥匙	5			2000													1			
107007	2	0	406	70600055	0			地灵龛钥匙	5			2000													1			
107008	2	0	407		0			体力	5			2000	1				25	107	3					4				
107009	2	0	407		0			体力	5			2000	1				25	106	60					4				
108000	2	0			0				1			2000																
108001	2	0	207		0			食物	1	0	0	2000	1			2	15	120201	300		0			2	1			
108002	2	0	207		0			食物	1	0	0	2000	1			2	15	120202	300		0			2	1			
108003	2	0	207		0			食物	1	0	0	2000	1			2	15	120203	300		0			2	1			
108004	2	0	203		0			食物	1	120	99	2000	1			5	5				15	200101		1	1			
108005	2	0	203		0			食物	1	120	99	2000	1			5	5				15	200102		1	1			
108006	2	0	203		0			食物	1	120	99	2000	1			5	5				15	200103		1	1			
108007	2	0	203		0			食物	1	120	99	2000	1			5	5				15	200101		1	1			
108008	2	0	203		0			食物	1	120	99	2000	1			5	5				15	200102		1	1			
108009	2	0	203		0			食物	1	120	99	2000	1			5	5				15	200103		1	1			
108010	2	0	203		0			食物	1	120	99	2000	1			5	5				15	200104		1	1			
108011	2	0	201		0			食物	15	0	0	2000	1			4	10	750	Eff_UI_AvatarIcon_Recovery_Once		15	105101		1	1			
108012	2	0	201		0			食物	15	0	0	2000	1			4	10	850	Eff_UI_AvatarIcon_Recovery_Once		15	105102		1	1			
108013	2	0	201		0			食物	15	0	0	2000	1			4	10	1100	Eff_UI_AvatarIcon_Recovery_Once		15	105103		1	1			
108014	2	0	201		0			食物	15	0	0	2000	1			4	10	1300	Eff_UI_AvatarIcon_Recovery_Once		15	105104		1	1			
108015	2	0	202		0			食物	1	0	0	2000	1			2	15	100201	31		0			2	1			
108016	2	0	202		0			食物	1	0	0	2000	1			2	15	100202	31		0			2	1			
108017	2	0	202		0			食物	1	0	0	2000	1			2	15	100203	31		0			2	1			
108018	2	0	202		0			食物	1	0	0	2000	1			2	15	100204	31		0			2	1			
108019	2	0	202		0			食物	1	0	0	2000	1			2	15	100101	31		0			1	1			
108020	2	0	202		0			食物	1	0	0	2000	1			2	15	100102	31		0			1	1			
108021	2	0	202		0			食物	1	0	0	2000	1			2	15	100103	31		0			1	1			
108022	2	0	203		0			食物	1	120	99	2000	1			5	5				15	200201		2	1			
108023	2	0	203		0			食物	1	120	99	2000	1			5	5				15	200202		2	1			
108024	2	0	203		0			食物	1	120	99	2000	1			5	5				15	200203		2	1			
108025	2	0	204		0			食物	1	0	0	2000	1			2	15	110201	300		0			2	1			
108026	2	0	204		0			食物	1	0	0	2000	1			2	15	110202	300		0			2	1			
108027	2	0	204		0			食物	1	0	0	2000	1			2	15	110203	300		0			2	1			
108028	2	0	205		0			食物	1	0	0	2000	1			2	15	140201	300		0			2	1			
108029	2	0	205		0			食物	1	0	0	2000	1			2	15	140202	300		0			2	1			
108030	2	0	205		0			食物	1	0	0	2000	1			2	15	140203	300		0			2	1			
108031	2	0	201		0			食物	15	0	0	2000	1			4	10	900	Eff_UI_AvatarIcon_Recovery_Once		15	105201		2	1			
108032	2	0	201		0			食物	15	0	0	2000	1			4	10	1100	Eff_UI_AvatarIcon_Recovery_Once		15	105202		2	1			
108033	2	0	201		0			食物	15	0	0	2000	1			4	10	1450	Eff_UI_AvatarIcon_Recovery_Once		15	105203		2	1			
108034	2	0	208		0			食物	1	30	98	2000	1			2	9	40			0			2	1			
108035	2	0	208		0			食物	1	30	98	2000	1			2	9	55			0			2	1			
108036	2	0	208		0			食物	1	30	98	2000	1			2	9	70			0			2	1			
108037	2	0	203		0			食物	1	120	99	2000	1			5	5				15	200201		2	1			
108038	2	0	203		0			食物	1	120	99	2000	1			5	5				15	200202		2	1			
108039	2	0	203		0			食物	1	120	99	2000	1			5	5				15	200203		2	1			
108040	2	0	203		0			食物	1	120	99	2000	1			5	5				15	200204	300	2	1			
108041	2	0	202		0			食物	1	0	0	2000	1			2	15	100301	31		0			3	1			
108042	2	0	202		0			食物	1	0	0	2000	1			2	15	100302	31		0			3	1			
108043	2	0	202		0			食物	1	0	0	2000	1			2	15	100303	31		0			3	1			
108044	2	0	202		0			食物	1	0	0	2000	1			2	15	100304	31		0			3	1			
108045	2	0	201		0			食物	15	0	0	2000	1			4	10	750	Eff_UI_AvatarIcon_Recovery_Once		15	105301		3	1			
108046	2	0	201		0			食物	15	0	0	2000	1			4	10	1250	Eff_UI_AvatarIcon_Recovery_Once		15	105302		3	1			
108047	2	0	201		0			食物	15	0	0	2000	1			4	10	2150	Eff_UI_AvatarIcon_Recovery_Once		15	105303		3	1			
108048	2	0	201		0			食物	15	0	0	2000	1			4	10	3100	Eff_UI_AvatarIcon_Recovery_Once		15	105304		3	1			
108049	2	0	207		0			食物	1	0	0	2000	1			2	15	120301	300		0			3	1			
108050	2	0	207		0			食物	1	0	0	2000	1			2	15	120302	300		0			3	1			
108051	2	0	207		0			食物	1	0	0	2000	1			2	15	120303	300		0			3	1			
108052	2	0	204		0			食物	1	0	0	2000	1			2	15	110301	300		0			3	1			
108053	2	0	204		0			食物	1	0	0	2000	1			2	15	110302	300		0			3	1			
108054	2	0	204		0			食物	1	0	0	2000	1			2	15	110303	300		0			3	1			
108055	2	0	205		0			食物	1	0	0	2000	1			2	15	140301	300		0			3	1			
108056	2	0	205		0			食物	1	0	0	2000	1			2	15	140302	300		0			3	1			
108057	2	0	205		0			食物	1	0	0	2000	1			2	15	140303	300		0			3	1			
108058	2	0	205		0			食物	1	0	0	2000	1			2	15	140304	300		0			3	1			
108059	2	0	206		0			食物	1	0	0	2000	1			2	15	160201	300		0			3	1			
108060	2	0	206		0			食物	1	0	0	2000	1			2	15	160202	300		0			3	1			
108061	2	0	206		0			食物	1	0	0	2000	1			2	15	160203	300		0			3	1			
108062	2	0	209		0			食物	1	0	0	2000	1			2	15	150311	300		0			3	1			
108063	2	0	209		0			食物	1	0	0	2000	1			2	15	150312	300		0			3	1			
108064	2	0	209		0			食物	1	0	0	2000	1			2	15	150313	300		0			3	1			
108065	2	0	203		0			食物	1	120	99	2000	1			5	5				15	200301		3	1			
108066	2	0	203		0			食物	1	120	99	2000	1			5	5				15	200302		3	1			
108067	2	0	203		0			食物	1	120	99	2000	1			5	5				15	200303		3	1			
108068	2	0	204		0			食物	1	0	0	2000	1			2	15	110301	300		0			4	1			
108069	2	0	204		0			食物	1	0	0	2000	1			2	15	110302	300		0			4	1			
108070	2	0	204		0			食物	1	0	0	2000	1			2	15	110303	300		0			4	1			
108071	2	0	209		0			食物	1	0	0	2000	1			2	15	150311	300		0			3	1			
108072	2	0	209		0			食物	1	0	0	2000	1			2	15	150312	300		0			3	1			
108073	2	0	209		0			食物	1	0	0	2000	1			2	15	150313	300		0			3	1			
108074	2	0	202		0			食物	1	0	0	2000	1			2	15	100301	31		0			3	1			
108075	2	0	202		0			食物	1	0	0	2000	1			2	15	100302	31		0			3	1			
108076	2	0	202		0			食物	1	0	0	2000	1			2	15	100303	31		0			3	1			
108077	2	0	201		0			食物	15	0	0	2000	1			4	10	750	Eff_UI_AvatarIcon_Recovery_Once		15	105301		3	1			
108078	2	0	201		0			食物	15	0	0	2000	1			4	10	1250	Eff_UI_AvatarIcon_Recovery_Once		15	105302		3	1			
108079	2	0	201		0			食物	15	0	0	2000	1			4	10	2150	Eff_UI_AvatarIcon_Recovery_Once		15	105303		3	1			
108080	2	0	204		0			食物	1	0	0	2000	1			2	15	110201	300		0			2	1			
108081	2	0	204		0			食物	1	0	0	2000	1			2	15	110202	300		0			2	1			
108082	2	0	204		0			食物	1	0	0	2000	1			2	15	110203	300		0			2	1			
108083	2	0	205		0			食物	1	0	0	2000	1			2	15	140201	300		0			2	1			
108084	2	0	205		0			食物	1	0	0	2000	1			2	15	140202	300		0			2	1			
108085	2	0	205		0			食物	1	0	0	2000	1			2	15	140203	300		0			2	1			
108086	2	0	207		0			食物	1	0	0	2000	1			2	15	120201	300		0			2	1			
108087	2	0	207		0			食物	1	0	0	2000	1			2	15	120202	300		0			2	1			
108088	2	0	207		0			食物	1	0	0	2000	1			2	15	120203	300		0			2	1			
108089	2	0	201		0			食物	15	0	0	2000	1			4	10	900	Eff_UI_AvatarIcon_Recovery_Once		15	105201		2	1			
108090	2	0	201		0			食物	15	0	0	2000	1			4	10	1100	Eff_UI_AvatarIcon_Recovery_Once		15	105202		2	1			
108091	2	0	201		0			食物	15	0	0	2000	1			4	10	1450	Eff_UI_AvatarIcon_Recovery_Once		15	105203		2	1			
108092	2	0	203		0			食物	1	120	99	2000	1			5	5				15	200101		1	1			
108093	2	0	203		0			食物	1	120	99	2000	1			5	5				15	200102		1	1			
108094	2	0	203		0			食物	1	120	99	2000	1			5	5				15	200103		1	1			
108095	2	0	203		0			食物	1	120	99	2000	1			5	5				15	200101		1	1			
108096	2	0	203		0			食物	1	120	99	2000	1			5	5				15	200102		1	1			
108097	2	0	203		0			食物	1	120	99	2000	1			5	5				15	200103		1	1			
108098	2	0	203		0			食物	1	120	99	2000	1			5	5				15	200101		1	1			
108099	2	0	203		0			食物	1	120	99	2000	1			5	5				15	200102		1	1			
108100	2	0	203		0			食物	1	120	99	2000	1			5	5				15	200103		1	1			
109000	2	0	408		0				5			2000	1															
109101	2	0	408	70600021	0		1	食谱	5			2000	1				17	1001						1	1			
109102	2	0	408	70600021	0		1	食谱	5			2000	1				17	2008						2	1			
109103	2	0	408	70600021	0		1	食谱	5			2000	1				17	2001						2	1			
109104	2	0	408	70600021	0		1	食谱	5			2000	1				17	2002						2	1			
109106	2	0	408	70600021	0		1	食谱	5			2000	1				17	3001						3	1			
109107	2	0	408	70600021	0		1	食谱	5			2000	1				17	3002						3	1			
109201	2	0	408	70600021	0		1	食谱	5			2000	1				17	1003						1	1			
109202	2	0	408	70600021	0		1	食谱	5			2000	1				17	2003						2	1			
109203	2	0	408	70600021	0		1	食谱	5			2000	1				17	2004						2	1			
109204	2	0	408	70600021	0		1	食谱	5			2000	1				17	3003						3	1			
109205	2	0	408	70600021	0		1	食谱	5			2000	1				17	3004						3	1			
109206	2	0	408	70600021	0		1	食谱	5			2000	1				17	3005						3	1			
109207	2	0	408	70600021	0		1	食谱	5			2000	1				17	3006						3	1			
109301	2	0	408	70600021	0		1	食谱	5			2000	1				17	1004						1	1			
109302	2	0	408	70600021	0		1	食谱	5			2000	1				17	1005						1	1			
109303	2	0	408	70600021	0		1	食谱	5			2000	1				17	3007						3	1			
109304	2	0	408	70600021	0		1	食谱	5			2000	1				17	3008						3	1			
109401	2	0	408	70600021	0		1	食谱	5			2000	1				17	2005						2	1			
109402	2	0	408	70600021	0		1	食谱	5			2000	1				17	2006						2	1			
109403	2	0	408	70600021	0		1	食谱	5			2000	1				17	2007						2	1			
109404	2	0	408	70600021	0		1	食谱	5			2000	1				17	4101						4	1			
109405	2	0	408	70600021	0		1	食谱	5			2000	1				17	1006						1	1			
109406	2	0	408	70600021	0		1	食谱	5			2000	1				17	1101						1	1			
109407	2	0	408	70600021	0		1	食谱	5			2000	1				17	1102						1	1			
109408	2	0	408	70600021	0		1	食谱	5			2000	1				17	2101						2	1			
109409	2	0	408	70600021	0		1	食谱	5			2000	1				17	2102						2	1			
109410	2	0	408	70600021	0		1	食谱	5			2000	1				17	2103						2	1			
109411	2	0	408	70600021	0		1	食谱	5			2000	1				17	2104						2	1			
109412	2	0	408	70600021	0		1	食谱	5			2000	1				17	3101						3	1			
109413	2	0	408	70600021	0		1	食谱	5			2000	1				17	3102						3	1			
109414	2	0	408	70600021	0		1	食谱	5			2000	1				17	3103						3	1			
110000	2	0	306		0				4			2000																
110001	2	0	306		0			食材加工物	4			2000																
110002	2	0	306		0			食材加工物	4			2000																
110003	2	0	306		0			食材加工物	4			2000																
110004	2	0	306		0			食材加工物	4			2000																
110005	2	0	306		0			食材加工物	4			2000																
110006	2	0	306		0			食材加工物	4			2000																
110008	2	0	306		0			食材加工物	4			2000																
110009	2	0	306		0			食材加工物	4			2000																
110010	2	0	306		0			食材加工物	4			2000																
110011	2	0	306		0			食材加工物	4			2000																
110012	2	0	306		0			食材加工物	4			2000																
110013	2	0	306		0			食材加工物	4			2000																
111006	2	0	211		0			合成产物	1			2000	1			2	15	130101	300					3	1			
111007	2	0	211		0			合成产物	1			2000	1			2	15	130102	300					3	1			
111008	2	0	211		0			合成产物	1			2000	1			2	15	130103	300					3	1			
111009	2	0	211		0			合成产物	1			2000	1			2	15	130104	300					3	1			
111010	2	0	211		0			合成产物	1			2000	1			2	15	130105	300					3	1			
111011	2	0	211		0			合成产物	1			2000	1			2	15	130106	300					3	1			
111012	2	0	211		0			合成产物	1			2000	1			2	15	130107	300					3	1			
111013	2	0	212		0			合成产物	1			2000	1			2	15	135101	300					3	1			
111014	2	0	212		0			合成产物	1			2000	1			2	15	135102	300					3	1			
111015	2	0	212		0			合成产物	1			2000	1			2	15	135103	300					3	1			
111016	2	0	212		0			合成产物	1			2000	1			2	15	135104	300					3	1			
111017	2	0	212		0			合成产物	1			2000	1			2	15	135105	300					3	1			
111018	2	0	212		0			合成产物	1			2000	1			2	15	135106	300					3	1			
111019	2	0	212		0			合成产物	1			2000	1			2	15	135107	300					3	1			
111020	2	0	409		0			合成产物	5			2000																
111021	2	0	409		0			合成产物	5			2000																
111022	2	0	409		0			合成产物	5			2000																
112001	2	1	101	70600052				怪物材料	14			9999												2				
112002	2	1	101	70600051				怪物材料	14			9999												1				
112003	2	1	101	70600052				怪物材料	14			9999												2				
112004	2	1	101	70600053				怪物材料	14			9999												3				
112005	2	1	102	70600051				怪物材料	14			9999												1				
112006	2	1	102	70600052				怪物材料	14			9999												2				
112007	2	1	102	70600053				怪物材料	14			9999												3				
112008	2	1	103	70600051				怪物材料	14			9999												1				
112009	2	1	103	70600052				怪物材料	14			9999												2				
112010	2	1	103	70600053				怪物材料	14			9999												3				
112011	2	1	104	70600051				怪物材料	14			9999												1				
112012	2	1	104	70600052				怪物材料	14			9999												2				
112013	2	1	104	70600053				怪物材料	14			9999												3				
112014	2	1	105	70600052				怪物材料	14			9999												2				
112015	2	1	105	70600053				怪物材料	14			9999												3				
112016	2	1	105	70600054				怪物材料	14			9999												4				
112017	2	1	106	70600052				怪物材料	14			9999												2				
112018	2	1	106	70600053				怪物材料	14			9999												3				
112019	2	1	106	70600054				怪物材料	14			9999												4				
112020	2	1	107	70600052				怪物材料	14			9999												2				
112021	2	1	107	70600053				怪物材料	14			9999												3				
112022	2	1	107	70600054				怪物材料	14			9999												4				
112023	2	1	108	70600052				怪物材料	14			9999												2				
112024	2	1	108	70600053				怪物材料	14			9999												3				
112025	2	1	108	70600054				怪物材料	14			9999												4				
112026	2	1	109	70600052				怪物材料	14			9999												2				
112027	2	1	109	70600053				怪物材料	14			9999												3				
112028	2	1	109	70600054				怪物材料	14			9999												4				
112029	2	1	110	70600052				怪物材料	14			9999												2				
112030	2	1	110	70600053				怪物材料	14			9999												3				
112031	2	1	110	70600054				怪物材料	14			9999												4				
112032	2	1	111	70600051				怪物材料	14			9999												1				
112033	2	1	111	70600052				怪物材料	14			9999												2				
112034	2	1	111	70600053				怪物材料	14			9999												3				
112035	2	1	112	70600051				怪物材料	14			9999												1				
112036	2	1	112	70600052				怪物材料	14			9999												2				
112037	2	1	112	70600053				怪物材料	14			9999												3				
113001	2	1	113	70600054				怪物材料	14			2000												4				
113002	2	1	113	70600054				怪物材料	14			2000												4				
113003	2	1	113	70600055				怪物材料	14			2000												5				
113004	2	1	113	70600055				怪物材料	14			2000												5				
113005	2	1	113	70600055				怪物材料	14			2000												5				
113006	2	1	113	70600055				怪物材料	14			2000												5				
113007	2	1	113	70600055				怪物材料	14			2000												5				
113008	2	1	113	70600055				怪物材料	14			2000												5				
113009	2	1	113	70600054				怪物材料	14			2000												4				
114001	2	1	128	70600052				武器突破材料	14			2000												2				
114002	2	1	128	70600053				武器突破材料	14			2000												3				
114003	2	1	128	70600054				武器突破材料	14			2000												4				
114004	2	1	129	70600055				武器突破材料	14			2000												5				
114005	2	1	129	70600052				武器突破材料	14			2000												2				
114006	2	1	129	70600053				武器突破材料	14			2000												3				
114007	2	1	130	70600054				武器突破材料	14			2000												4				
114008	2	1	130	70600055				武器突破材料	14			2000												5				
114009	2	1	130	70600052				武器突破材料	14			2000												2				
114010	2	1	131	70600053				武器突破材料	14			2000												3				
114011	2	1	131	70600054				武器突破材料	14			2000												4				
114012	2	1	131	70600055				武器突破材料	14			2000												5				
114013	2	1	132	70600052				武器突破材料	14			2000												2				
114014	2	1	132	70600053				武器突破材料	14			2000												3				
114015	2	1	132	70600054				武器突破材料	14			2000												4				
114016	2	1	133	70600055				武器突破材料	14			2000												5				
114017	2	1	133	70600052				武器突破材料	14			2000												2				
114018	2	1	133	70600053				武器突破材料	14			2000												3				
114019	2	1	134	70600054				武器突破材料	14			2000												4				
114020	2	1	134	70600055				武器突破材料	14			2000												5				
114021	2	1	134	70600052				武器突破材料	14			2000												2				
114022	2	1	135	70600053				武器突破材料	14			2000												3				
114023	2	1	135	70600054				武器突破材料	14			2000												4				
114024	2	1	135	70600055				武器突破材料	14			2000												5				
200001	2	1	6	70600053				海灯节材料	4			9999												3				
200002	2	1	6	70600053				海灯节材料	4			9999												3				
200003	2	1	6	70600053				海灯节材料	4			9999												3				
200004	2			70800017				海灯节材料	16			9999	1				24	70800017						4				
