子任务ID	父任务ID	序列	子任务组	禁止进入联机	显示状态	[领取条件]组合	[领取条件]1类型	[领取条件]1参数1	[领取条件]1参数2	[领取条件]1参数3	[领取条件]2类型	[领取条件]2参数1	[领取条件]2参数2	[领取条件]2参数3	[领取条件]3类型	[领取条件]3参数1	[领取条件]3参数2	[领取条件]3参数3	[完成条件]组合	[完成条件]1类型	[完成条件]1参数1	[完成条件]1参数2	[完成条件]1复杂参数	[完成条件]1次数	[完成条件]2类型	[完成条件]2参数1	[完成条件]2复杂参数	[完成条件]2次数	[完成条件]3类型	[完成条件]3参数1	[完成条件]3复杂参数	[完成条件]3次数	[失败条件]组合	[失败条件]1类型	[失败条件]1参数1	[失败条件]1复杂参数	[失败条件]1次数	[失败条件]2类型	[失败条件]2参数1	[失败条件]2复杂参数	[失败条件]2次数	[任务指引]类型	[任务指引]自动开启或关闭	[任务指引]参数1	[任务指引]参数2	[任务指引]场景ID	[任务指引]样式	[任务指引]显示层级	场景内指引	完成父任务	失败父任务	是存档点	[任务道具]ID	[任务道具]数量	[执行]1类型	[执行]1参数1	[执行]1参数2	[执行]2类型	[执行]2参数1	[执行]2参数2	[执行]3类型	[执行]3参数1	[执行]3参数2	[失败执行]1类型	[失败执行]1参数1	[失败执行]1参数2	[失败执行]2类型	[失败执行]2参数1	[失败执行]2参数2	[失败执行]3类型	[失败执行]3参数1	[失败执行]3参数2	[开始执行]1类型	[开始执行]1参数1	[开始执行]1参数2	[开始执行]2类型	[开始执行]2参数1	[开始执行]2参数2	[开始执行]3类型	[开始执行]3参数1	[开始执行]3参数2	独占NPC	共享NPC	独占优先级	试用角色列表	$#VersionBegin	$#VersionEnd
38303	383	3					1	38302	3											4																						2		1001		3	2	2				1	100163	1	1	100162	1	18	100158:1,100159:1,100160:1																							1001,1009,1006		1000		0.1	
38304	383	4			1		1	38303	3											2	38304																					2		1006		3	2	2		1		1																														1001,1009,1006		1000			0.1
38401	384	1			1		1	38304	3											18	0		0,24																													1																																			0.1
38402	384	2		1			1	38401	3											4	38402																					1		Q384Trigger		3	4					1												14	38401																		1001,1009,1006	1000		0.1	
38403	384	3		1			1	38402	3											2	38402																					2		1001		3	2	2				1																														1001,1009,1006		1000		0.1	
38404	384	4		1	1		1	38403	3											4	38404																					1		Q384WendyTemp		3	4					1																														1001,1009,1006		1000			0.1
38405	384	5		1	1		1	38404	3											2	38404																					2		1001		3	2	2				1																														1001,1009,1006		1000			0.1
38406	384	6		1	1		1	38405	3											4	38406																													1		1	100165	1	1	100163	1																														
39701	397	1					1	38406	3											6	1123																					1		Q39702Diluc		3						1																															1001,1009,1006	1000			0.1
39702	397	2					1	39701	3											2	39702																					2		1009		3	2	2																																		1001,1009,1006		1000		0.2	
39705	397	3			1		1	39702	3											18	0		0,24																																																											1001,1009,1006		1000			
39703	397	4					1	39705	3											7	133002233												2	21				8	39703			1		Q38406Player	60	3						1												14	39703		19	3	133002233,2				19	3	133002233,2							1001,1009,1006		1000		0.2	
39704	397	5					1	39703	3											2	39704																													1		1			19	3	133002233,1																									1001,1009,1006		1000			0.1
38806	388	1					1	39704	3											6	1062																					1		Q388Mark1		3	4	2				1																															1001,1009,1006	1000		0.1	
38801	388	2		1	1		1	38806	3											4																																			7	133004015																										1001,1009,1006		1000			0.1
38802	388	3		1			1	38801	3											7	133004015												2	21				8	38802			1		Q388Mark2	20	3	4	2																																		1001,1009,1006		1000		0.1	
38805	388	4		1	1		1	38802	4											4	38805																																		14	38806																															0.1
38803	388	5		1			1	38802	3											4	38803																					2		1001		3	2	2				1			15	3	133007001																									1001,1009,1006		1000		0.1	
38804	388	6		1	1		1	38803	3											2	38804																													1		1																														1001,1009,1006		1000			0.1
38901	389	1			1		1	38804	3											6	1045																																																																		0.1
38902	389	2					1	38804	3											6	1046																					1		Q389Target1		3	4	2				1																														1001,1009,1006		1000		0.1	
38903	389	3			1		1	38902	3											2	38903																																																													1001,1009,1006		1000			0.1
38909	389	4					1	38903	3											6	1099																					1		Q389Target6		3	4	1				1																														1001,1009,1006		1000		0.1	
38907	389	5					1	38909	3											6	1097																					1		Q389Target4		3	4	1				1																														1001,1009,1006		1000		0.1	
38904	389	6					1	38907	3											6	1047																					1		Q389Target2		3	4	1				1																														1001,1009,1006		1000		0.1	
38910	389	7					1	38904	3											6	1147																					1		Q389Target7		3	4	1																																		1001,1009,1006		1000			
38908	389	8					1	38910	3											6	1098																					1		Q389Target5		3	4	1				1																														1001,1009,1006		1000		0.1	
38905	389	9		1			1	38908	3											6	1092																					1		Q389VentiPos2		3	4	1				1																					15	3	133007227							1001,1009,1006		1000		0.1	
38906	389	10		1	1		1	38905	3											2	38906																													1																																1001,1009,1006		1000			0.1
39003	390	1		1			1	38906	3											20	39003		39003_success	1																		1		Q390Target2	50	3	2	2				1																														1001,1009,1006		1000		0.1	
39004	390	2		1			1	39003	3											2	39004																					2		1001		3	2	2				1			15	3	133007228	15	3	133007229	15	3	133007230																			1001,1009,1006		1000		0.1	
39005	390	3	1	1			1	39004	3											20	39005		39005_success	1																		1		Q390Target1	100	3									15	3	133007052	23	3900801	1																								1000		0.1	
39006	390	4	1	1			1	39004	3											20	39006		39006_success	1																		1		Q391Target1	100	3									15	3	133007052	23	3900801	1																								1000			0.1
39007	390	5	1	1			1	39004	3											20	39007		39007_success	1																		1		Q392Target1	100	3									15	3	133007052	23	3900801	1																								1000			0.1
39008	390	6			1		1	39004	3											24	3900801			3																												1																														1001,1009,1006		1000		0.1	0.2
39009	390	7			1		1	39004	3											4	39009																													1		1																																1000		0.1	0.2
39010	390	8					1	99902	3											4																						1		Q390Target1	80	3																																								0.1	0.2
39011	390	9			1		1	99902	3											4	39011																															1																																			0.1
39012	390	10			1	1	1	99902	3		1	39005	3		1	39006	3			4	39007																					1		Q390OrganPos		3						1																																			0.1
39013	390	11					1	99902	3											4																						1		Q390OrganPos		3			1	1		1																																		0.1	0.2
39101	391	1			1		1	99902	3											6	1083																																																																		0.1
39102	391	2					1	99902	3											6	1090																					1		Q391OrganPos		3			1			1																																		0.1	0.2
39103	391	3			1		1	99902	3										2	2	39003				2	39103			2	39203																																																									0.1
39109	391	4			1		1	99902	3											4	39109																																																																		0.1
39110	391	5			1		1	99902	3											4	39110																					1		Q391Target1	80	3																																								0.1	0.2
39104	391	6	1				1	99902	3											4																						1		Q391Target1	80	3																																								0.1	0.2
39105	391	7	1				1	99902	3											4																						1		Q391Target1	80	3																																								0.1	0.2
39106	391	8	1				1	99902	3											4																						1		Q391Target1	80	3																																								0.1	0.2
39111	391	9			1		1	99902	3											4	39111																															1																																			0.1
39107	391	10			1	1	1	99902	3		1	39105	3		1	39106	3			4	39107																					1		Q391OrganPos		3						1																																			0.1
39108	391	11					1	99902	3											4																						1		Q391OrganPos		3			1	1		1																																		0.1	0.2
39201	392	1			1		1	99902	3											6	1084																																																																		0.1
39202	392	2					1	99902	3											6	1091																					1		Q392OrganPos		3			1			1																																		0.1	0.2
39203	392	3			1		1	99902	3										2	2	39003				2	39103			2	39203																																																									0.1
39209	392	4			1		1	99902	3											4	39209																																																																		0.1
39210	392	5			1		1	99902	3											4	39210																					1		Q392Target1	80	3																																								0.1	0.2
39204	392	6	1				1	99902	3											4																						1		Q392Target1	80	3																																								0.1	0.2
39205	392	7	1				1	99902	3											4																						1		Q392Target1	80	3																																								0.1	0.2
39206	392	8	1				1	99902	3											4																						1		Q392Target1	80	3																																								0.1	0.2
39211	392	9			1		1	99902	3											4	39211																															1																																			0.1
39207	392	10			1	1	1	99902	3		1	39205	3		1	39206	3			4	39207																					1		Q392OrganPos		3						1																																			0.1
39208	392	11					1	99902	3											4																						1		Q392OrganPos		3			1	1		1																																		0.1	0.2
39301	393	1					1	39008	3											4	39301																																		15	3	133007029																									1001,1009,1006		1000		0.1	
39302	393	2					1	39301	3											6	1092																					1		Q389VentiPos2		3	2	2				1																														1001,1009,1006		1000		0.1	
39303	393	3			1		1	39302	3											2	39301																													1																																1001,1009,1006		1000			0.1
39401	394	1					1	39303	3											9	2001	38																				1		Q390Look2		3	2	2				1																					2	3	38							1001,1009,1006		1000		0.1	
39404	394	2		1			1	39401	3											9	2002	38											2	19	2001			10	3													1			12	5								14	39401																	1001,1009,1006		1000		0.1	
39402	394	3		1			1	39404	3											3	29010102													19	2002																	1												14	39401																	1001,1009,1006		1000	5	0.1	
39403	394	4		1	1		1	39402	3											4	39403													19	2002															1		1			20	5								14	39401																	1001,1009,1006		1000	5		0.1
39601	396	1		1			1	39403	3											4	39601																															1			15	3	133007183	22	2	0																							1001,1008,1006	1000		0.1	
39602	396	2					1	39601	3											2	39602																					2		1008		1008	2	2				1																														1001,1008,1006		1000		0.1	
39604	396	4			1		1	39602	3											2	39604																													1					1	100165	1																									1001,1008,1006		1000			0.1
39605	396	5					1	99902	3											10	3																																																																		0.1
39606	396	6					1	39605	3											2	39606																																																																		0.1
40701	407	1			1		1	35724	4											2	40702																					2		1105								1																																		0.1	
40702	407	2					1	40701	3										2	13	9				4	40702								8	40702							2		1105																																										0.1	
40703	407	3					1	40702	4											2	40704																					2		1105																																										0.1	
40704	407	4					1	40702	3											2	40705																					2		1105						1		1																																		0.1	
40705	407	5			1		1	40703	3											4	40705													8	40705																													14	40701																					0.1	
40801	408	1			1		1	35724	4											2	40801																					2		1116								1																																		0.1	
40802	408	2			1		1	40801	3											2	40802																					2		1116																																										0.1	
40803	408	3			1		1	40801	3											2	40803																					2		1116																																										0.1	
40804	408	4			1	2	1	40802	3		1	40803	3		1	40803	3			2	40804																					2		1116																																										0.1	
40805	408	5			1		1	40804	3											4	40805													8	40805																													14	40801																					0.1	
40806	408	6			1	2	1	40802	3		1	40803	3		1	40803	3			2	40805																					2		1116																																										0.1	
40807	408	7					1	40806	3											4	40807													8	40807							1		Q408KeyPos																																										0.1	
40808	408	8					1	40807	4											2	40807																					2		1116																																										0.1	
40809	408	9					1	40807	3											2	40808																					2		1116						1																																				0.1	
40810	408	10			1		1	40808	3											4	40810													8	40810																													14	40801																					0.1	
40901	409	1			1		1	35724	4											2	40907																					2		1117								1																																		0.1	
40902	409	2			1		1	40901	3											4	40902													8	40902							2		1117																																										0.1	
40903	409	3					1	40902	4											2	40905																					2		1117																																										0.1	
40904	409	4					1	40902	3											2	40906																					2		1117						1		1																																		0.1	
40905	409	5			1		1	40903	3											4	40905													8	40905																													14	40901																					0.1	
41001	410	1			1		1	35724	4											2	41006																																																																	0.1	0.1
41002	410	2					1	41001	3											5	100114																					1		Q410Medicine																																										0.1	0.1
41003	410	3					1	41002	3											2	41008																					2		1118											1	100114	1																													0.1	0.1
41004	410	4					1	41003	3											2	41009																					2		1119						1																																				0.1	0.1
41601	416	1			1															4	41601																															1																																			0.1
41602	416	2			1		1	41601	3											4	41602																															1			14	41601																															0.1
41603	416	3			1		1	41601	3											4	41603																													1					19	3	133004915,2																														0.1
41801	418	1			1		1	35311	3										2	20			JZ	1	6	1071																																																													0.1
41802	418	2					1	41801	3											20			jianzhong	1																		2		1563								1			22	1005	0																														
41803	418	3					1	41802	3											20			JZFinal	1																		1		DUMMY_POS 3001262		3				1		1																																			
41901	419	1			1		1	41802	3											20			yincang	1																		1		Q418_Sun	20					1		1			15	3	133001109																														0.1
42001	420	1			1		1	41802	3											20			yincang	1																		1		Q418_Sleep	20					1		1			15	3	133001109																														0.1
42201	422	1			1		1	41802	3											20			yincang	1																		1		Q418_Meat	20					1		1			15	3	133001109																														0.1
42301	423	1			1		1	35311	3											6	1074																							Q418_Meat	20																																										0.1
42302	423	1					1	42301	3											7	133001166																													1		1																																			
42401	424	1			1															17	1013																																																																	0.1	0.1
42402	424	2					1	42401	3											2	42403																															1			1	100175	9	1	100176	9	1	100115	9																							0.1	0.1
42403	424	3					1	42402	3											5	100115													8	42403																																																			0.1	0.1
42404	424	6					1	42403	4											4	42404													8	42404																				14	42402								14	42402																					0.1	0.1
42405	424	7					1	42403	3											2	42406																													1		1			1	100175	9	1	100176	9	1	100115	9																							0.1	0.1
42406	424	4					1	42402	3											5	100175																																																																	0.1	0.1
42407	424	5					1	42402	3											5	100176																																																																	0.1	0.1
42501	425	1			1		1	99902	3											17	1015																																																																	0.1	0.1
42502	425	2					1	42501	3											2	42503																															1																																		0.1	0.1
42503	425	3					1	42502	3											4	42503																															1																																		0.1	0.1
42504	425	4					1	42503	3											2	42506																													1																																				0.1	0.1
42601	426	1			1		1	99902	3											4	42601																															1																																		0.1	0.1
42602	426	2			1		1	42601	3											4	42602													8	42602															1					14	42601								14	42601																					0.1	0.1
42801	428	1			1															17	1016																																																																	0.1	0.1
42802	428	2					1	42801	3											4	42802																															1																																		0.1	0.1
42803	428	3					1	42802	3											4	42803																													1		1																																		0.1	0.1
45109	451	1			1	1	1	39604	3		1	48508	3							4	45109																																																														1011	1100		0.2	
45101	451	2				1	1	39604	3		1	48508	3							6	1051																					1		Q451WolfRunStart		3	4	2				1																															1011	1100		0.2	
45102	451	3			1		1	45101	3											2	45101																																																																	0.2	
45107	451	4					1	45102	2											4	45107																					2		1005		3	1	2																																		1011		1100		0.2	
45103	451	5					1	45107	3											20			133004256	1																		1		Q451WolfRunStart	15	3			1			1			19	3	133004256,1																19	3	133004256,2							1011		1100		0.2	
45104	451	6					1	45103	3											2	45103																					2		1011		3	2	2				1	100225	2	19	3	133004266,2																									1011		1100		0.2	
45105	451	7	1				1	45104	3											5	100061			3																												1			19	3	133004266,1																									1011		1100		0.2	
45108	451	8			1	1	1	45104	3		1	45105	2							4	45108																																																																	0.2	
45106	451	9					1	45105	3											2	45106																					2		1011		3	2	2		1					1	100061	3																									1011		1100		0.2	
45201	452	1					1	45106	3											2	45201																					2		1002		3	2	2				1																														1002		1100		0.2	
45202	452	2					1	45201	3											4	45202																					2		1002		3	2	2				1																					7	133002091								1002,1631		1100		0.2	
45203	452	3					1	45202	3										2	2	45202				24	45203		1														2		1002		3	2	2																									7	133002091								1002,1631		1100		0.2	
45206	452	4			1		1	45202	3											7	133002091																																		23	45203	1																													0.2	
45204	452	5				1	1	45203	3		1	45206	2							7	133002091																					1		Q452FightFarmer	30	3			1																																	1002,1631		1100		0.2	
45205	452	6				2	1	45204	3		1	45206	3							2	45203																					2		163101		3	2	2		1		1																														1002,1631		1100		0.2	
45301	453	1					1	45205	3											2	45301																					2		153701		3	2	2				1																														1002,1537,1632,1543		1100		0.2	
45302	453	2					1	45301	3											25	70300071																					1		Q453PawHint	30	3			1																																	1002,1537,1632,1543		1100		0.2	
45307	453	3			1		1	45302	3											2	45307																					2		1005		3	2	2																																		1002,1537,1632,1543		1100		0.2	
45303	453	4					1	45307	3											25	70300072																					1		Q453ToothHint	30	3			1																																	1002,1537,1632,1543		1100		0.2	
45308	453	5			1		1	45303	3											2	45308																					2		1005		3	2	2																																		1002,1537,1632,1543		1100		0.2	
45304	453	6					1	45308	3											25	70300073																					1		Q453HairHint	30	3			1			1																														1002,1537,1632,1543		1100		0.2	
45305	453	7			1		1	45304	3											2	45305																					2		1002		3	2	2																																		1002,1537,1632,1543		1100		0.2	
45306	453	8					1	45305	3											2	45306																					2		154301		3	2	2		1																																1002,1537,1632,1543		1100		0.2	
45407	454	1					1	45306	3											6	1125																					2		1011		3	2	2				1																														1011,1002		1100		0.2	
45401	454	2					1	45407	3											2	45401																					2		1011		3	2	2																																		1011,1002		1100		0.2	
45410	454	3					1	45401	3											25	70300074																					1		Q45411BloodHint	30	3			1																																	1011,1002		1100		0.2	
45411	454	4					1	45410	3											2	45411																					2		1002		3	2	2				1																														1011,1002		1100		0.2	
45412	454	5					1	45411	3											6	1124																					1		Q45413PlayPos		3	4	2	1			1																														1011,1002		1100		0.2	
45413	454	6					1	45412	3											2	45413																					2		1011		3	2	2																																		1011,1002		1100		0.2	
45414	454	7					1	45413	3											6	1120																					1		Q454PlayerTalk		3	4	2	1			1																														1011,1002,154301,163201		1100		0.2	
45408	454	8			1		1	45414	2											6	1121																																																																	0.2	
45409	454	9			1		1	45414	2											6	1122																																																																	0.2	
45415	454	10					1	45414	3											2	45415																					2		1011		3	2	2																																		1011,1002,154301,163201		1100		0.2	
45402	454	11	1				1	45415	3											5	100021			1																		1		Q454GouGouGuo	30	3			1																																	1011,1002,154301,163201		1100		0.2	
45403	454	12					1	45402	3											4	45403																					2		1011		3	2	2							1	100021	1																									1011,1002,154301,163201		1100		0.2	
45404	454	13			1		1	45403	2											4	45404																																																																	0.2	
45416	454	14		1			1	45404	3											4	45416																					1		Q454BossFight		3	4	2	1			1			12	9		19	3	133002259,1																						1011,1002		1100		0.2	
45417	454	15			1		1	45416	3											4	45417																																		19	3	133002259,2																												9	0.2	
45405	454	16		1			1	45416	3											4	45405													8	45405							1		Q454BossFight	50	3	4	2	1						20	9								14	45416		19	3	133002259,2	20	9											1011,1002		1100	9	0.2	
45406	454	17			1		1	45405	3											2	45406																					2		1011		3	3	2		1		1			19	3	133002259,4																									1011,1002		1100		0.2	
46101	461	1					1	30904	3											2	46101																					2		1004		1004	1	2				1			19	3	133003204,2																									1004		1100		0.1	
46102	461	2					1	46101	3											6	1077																					1		Q46102Point		3	4	2							19	3	133003204,1																									1004		1100		0.1	
46109	461	3			1		1	46102	3											2	46102																															1																																			0.1
46103	461	4					1	46109	3											2	46104																					1		Q461NPC	20	3						1																														1409				0.1	
46104	461	5			1		1	46109	3											2	46104																																																																		0.1
46105	461	6			1		1	46109	3										2	2	46105																																																																		0.1
46106	461	7			1		1	46109	3										2	2	46106																																																																		0.1
46107	461	9					1	46103	3											2	46108																					2		1004		3				1		1																														1004		1100		0.1	
46201	462	1					1	46107	3											6	1063																					1		Q462NPC		3	4	2				1			7	133003204																										1213,1525				0.1	
46202	462	2					1	46201	3											7	133003204																					1		Q462NPC	30	3																																				1213,1525				0.1	
46203	462	3					1	46202	3											2	46203																					2		1213		3						1	100171	1																												1213,1525				0.1	
46204	462	4		1	1		1	46203	3											5	100172																															1			15	3	133002202	19	3	133004902,1													19	3	133004902,2							1004					0.1
46210	462	5			1		1	46204	3											2	46204																															1																																			0.1
46205	462	6					1	46203	3											2	46205																																																															1100		0.1	
46208	462	7					1	46205	3											5	100172																					1		Q462Treasure1		3						1																																1100		0.1	
46206	462	8		1	1		1	46204	3											5	100173																													1		1																					19	3	133002173,1							1004					0.1
46207	462	9					1	46204	3											2	46207				2	46207																																																										1100		0.1	
46209	462	10					1	46207	3											5	100173																					1		Q462PuzzleEnd	15	3	4	2				1																																1100		0.1	
46300	463	1					1	46206	3											2	46300																					2		1005		3						1																																		0.1	
46301	463	2					1	46300	3											6	1076																					1		Q463Dungeon		3	4	2				1			2	3	52																										1004	1100		0.1	
46307	463	3			1		1	46301	3											2	46301																																																													1004		1100			0.1
46302	463	4					1	46307	3											6	1064																					1		Q463Dungeon		3	4	2				1																														1004		1100		0.1	
46303	463	5		1	1		1	46302	3											2	46303																																		12	6		19	20016	220016008,2																						1004		1100			0.1
46304	463	6		1			1	46303	3											3	24010101												2	19	2000			10	3																									14	46302																	1004		1100	6	0.1	
46305	463	7		1	1		1	46304	3										2	2	46305				2	46306																								1					1	100171	1	1	100172	1	1	100173	1																			1004		1100	6		0.1
46306	463	8			1		1	46302	3											4																																			15	20016	220016003																														0.1
46308	463	9			1		1	46304	3										2	2	46305				2	46306																								1					17	3	52																														0.1
46401	464	1				1	17	18			1	39604	3							2	46401																					2		1465		1009	1	2																																		1465		1100		0.2	
46402	464	2					1	46401	3											2	46402																					1		Q464Square	50	3																																					1005,1431,1423,1435,1401,1403,1425,1417,1405,1455,1461,1463,1419,1469,1437	1100		0.2	
46403	464	3					1	46402	3											2	46403																					1		Q464Smithy	50	3																																					1005,1439,1423,1435,1401,1403,1425,1417,1405,1455,1461,1463,1419,1469,1437	1100		0.2	
46404	464	4					1	46403	3											2	46404																					1		Q464Flower	50	3																																				1005,1427,1423,1435,1401,1403,1425,1417,1405,1455,1461,1463,1419,1469,1437,1431,1439,1447,1441		1100		0.2	
46405	464	5					1	46404	3											18	0		18,6																													1																														1447,1441				0.2	
46406	464	6		1			1	46405	3											6	1072													18	0	6,18						1		Q464Backdoor	30	3			1															14	46405																	1009,1447,1441,1569		1100		0.2	
46407	464	7		1			1	46406	3											2	46405																					2		1009		3	2	2				1																														1009,1505,1506,1507,1447,1441,1569		1100		0.2	
46408	464	8					1	46407	3											20			133004247	6										8	46408							1		Q464Backdoor		3			1			1												14	46405		19	3	133004247,1				19	3	133004247,2							1218,1447,1441,1433,1569		1100		0.2	
46409	464	9					1	46408	3											2	46412																					2		1218		3	2	2		1		1																														1218,1447,1441,1433,1569		1100		0.2	
46501	465	1					1	99902	3											18	0		6,18																																																																0.1
46502	465	2					1	99902	3											17	1004																					1		QuestKnighthood		3																																									0.1
46503	465	3					1	46409	3											2	46501																					2		1218		3	2	2				1	100214	1																												1218		1100		0.2	
46522	465	4					1	99902	3											2	46519																					2		1005		3	2	2																																							0.1
46504	465	5					1	46503	3											17	1018																					1		Q465DilucTemp1		3						1																														1009		1100		0.2	
46505	465	6					1	46504	3											2	46502																					2		1009		1018	2	2				1																														1009		1100		0.2	
46506	465	7					1	46505	3											6	1078																					1		Q465DilucDungeonDoor		3																																				1009		1100		0.2	
46507	465	8					1	46506	3											2	46503																					2		1009		3	2	2				1																														1009		1100		0.2	
46508	465	9					1	46507	3											9	2003	22																				1		Q465DilucDungeonDoor		3						1			1	100174	1	12	4																							1009		1100		0.2	
46509	465	10		1			1	46508	3											20			DLK_Finish	1										19	2003																													14	46508																	1009		1100	4	0.2	
46525	465	11		1	1		1	46509	3											10	3													19	2003																																																		4		0.1
46510	465	12					1	46509	3											2	46504													19	2003							2		1009		20019	2	2	1			1												14	46508																	1009,1219		1100	4	0.2	
46514	465	13					1	99902	3											2	46509													19	2003																													14	46508																	1009,1219		1100		0.2	
46515	465	14			1		1	99902	2											4	46515													19	2003																													14	46508																					0.2	
46516	465	15			1		1	99902	2											4	46516													19	2003																													14	46508																					0.2	
46517	465	16			1		1	99902	2											4	46517													19	2003																													14	46508																					0.2	
46518	465	17			1		1	99902	3											2	46513													19	2003																													14	46508																					0.2	
46519	465	18			1		1	99902	3											2	46514													19	2003																													14	46508																					0.2	
46523	465	19			1	2	1	99902	2		1	46519	2							4	46523													19	2003																													14	46508																					0.2	
46520	465	20					1	99902	3											3	22010301			1										19	2003																				14	46510		19	20019	220019007,1				14	46508								19	20019	220019007,2											0.2	
46511	465	21		1			1	46510	3											10	3																															1			1	100174	1	20	4																							1009		1100	4	0.2	
46524	465	22					1	46511	3											2	46520																					2		1009		3	2	2				1																														1009		1100		0.2	
46512	465	23					1	99902	3											17	1004																					1		QuestKnighthood		3																																									0.1
46513	465	24					1	46524	3											2	46505																					2		1218		3	2	2		1		1																														1218,1004,1009		1100		0.2	
46521	465	25					1	99902	3											2	46518																					2		1005		3	2	2		1		1																																			0.1
46601	466	1					1	46513	3											17	1018																					1		Q465DilucTemp1		3																																				1009		1100		0.2	
46602	466	2					1	46601	3											2	46601																					2		1009		1018	2	2				1																														1009		1100		0.2	
46603	466	3					1	46602	3										2	10	3				6	1080																1		Q466LeaveChateau		1018									19	3	133002233,1																									1009				0.2	
46621	466	4	1				1	46603	3											5	100052			4																												1																														1009,1529				0.2	
46622	466	5					1	46621	3											2	46609																					2		1009		3	2	2				1			1	100052	4																									1009,10022		1100		0.2	
46604	466	6					1	46622	3											25	70300052			1																		1		Q466LureGuide1		3	2	1				1																														1009		1100		0.2	
46605	466	7					1	46604	3											2	46602																					2		1009		3	2	2				1			19	3	133002035,2;133002227,2																19	3	133002035,1;133002227,1							1009		1100		0.2	
46606	466	8					1	46605	3											20			3002035	1										20		133002227	1					1		Q466Protect	25	3			1						19	3	133002035,1	19	3	133002227,1				14	46604		19	3	133002035,1;133002227,1													1009		1100		0.2	
46607	466	9					1	46606	3											2	46603																					2		1009		3	2	2				1																														1009		1100		0.2	
46608	466	10					1	46607	3											17	1009																					1		QuestBarEnter		3						1																					10	0		19	3	133004118,1				1009,1218,1465		1100		0.2	
46609	466	11					1	46608	3											18	0		19,6										2	8	46609			10	3																10	1								14	46608																	1009,1218,1465		1100		0.2	
46610	466	12		1			1	46609	3											2	46604												2	8	46610			10	3			2		1009		1009	2	2				1												14	46608																	1009,1218,1465,1433,1569		1100		0.2	
46620	466	13		1			1	46610	3											10	3													8	46620							1		Q466Lure2		3																		14	46608																	1009,1218,1465,1433,1569		1100		0.2	
46611	466	14		1			1	46620	3											25	70300052			1										8	46611							1		Q466LureGuide2		3	2	1							1	100177	1							14	46608																	1009,1218,1465,1433,1569		1100		0.2	
46619	466	15			1		1	99902	3											4																																			14	46610																															0.1
46612	466	16		1	1		1	46611	3											17	1009													8	46612							1		QuestBarEnter		3			1															14	46608																	1009,1218,1465,1433,1569		1100			0.1
46625	466	17			1		1	99902	3											6	1171																															1			14	46625																												1100			0.1
46613	466	18		1			1	46612	3											2	46605												2	8	46613			10	3			2		1009		1009	2	2				1												14	46608																	1009,1218,1465,1433,1569		1100		0.2	
46614	466	19		1			1	46613	3											6	1081													8	46614							1		Q354Gate		3	4					1												14	46608								19	3	133004118,1							1009,1218,1465,1433,1569,1437		1100		0.2	
46623	466	20		1	1		1	46614	3											4	46623													8	46623							1		Q354Gate		3			1						12	4		19	3	133004118,2				14	46608																	1009,1218,1465,1433,1569,1437		1100			0.1
46615	466	21		1			1	46623	3											20			133004118	13										8	46615							1		Q466Monster4		3			1															14	46608																	1009,1218,1465,1433,1569,1437		1100	4	0.2	
46624	466	22		1	1		1	46615	3											4	46624													8	46624																				20	4								14	46608		20	4														1009,1218,1465,1433,1569,1437		1100	4		0.1
46616	466	23		1			1	46624	3											2	46606													8	46616							2		1009		3	2	2				1												14	46608																	1009,1218,1523,1465,1433,1569,1437		1100		0.2	
46617	466	24		1			1	46616	3											17	1009													8	46617							1		QuestBarEnter		3																		14	46608																	1009,1218,1523,1465,1433,1569,1437		1100		0.2	
46618	466	25		1			1	46617	3											2	46607												2	8	46618			10	3			2		1009		1009	3	2		1		1			10	0								14	46608																	1009,1218,1004,1523,1465,1433,1569,1437		1100		0.2	
46701	467	1			1		1	36004	3											6	1093																															1																															1479	1100			0.1
46702	467	2			1		1	46701	3											2	46701																															1	100064	2																													1479	1100			0.1
46703	467	3			1		1	46702	3											22			46703,46711,46712,46713																											1		1																															1479	1100			0.1
46801	468	1			1															2	46802																															1																																			0.1
46802	468	2			1		1	46801	3											20			133002225	1										20		133002226	1													1					19	3	133002225,2	19	3	133002143,2				14	46801		19	3	133002225,2				19	3	133002225,1												0.1
46904	469	1			1	1	1	35104	3		2	31101	3							5	107001	1												2	30902																																																				0.1
46901	469	1			1	2	1	31101	3		1	46904	3							6	1096																					1		Q469Paimon1		3			1																																						0.1
46902	469	2				2	1	31101	3		1	46904	3							109	2		3,1																			1		Q469Paimon1		3			1	1																																				0.1	
46903	469	3					1	99902	3										2	2	46901				2	46902																2		1486		3	2	2		1		1																																		0.1	
47101	471	1			1	1	1	46902	3		2	46904	3							4	47101																													1		1																																			0.1
47102	471	2			1	1	1	46902	3		1	46904	3							4	47102																													1		1																																			0.1
47001	470	1			1		1	35901	3											6	1106																																																																		0.1
47002	470	2			1		1	47001	3											2	47001																																																																		0.1
47003	470	3			1		1	47002	3											5	108002																															1																																			0.1
47004	470	4			1		1	47003	3											2	47002																													1		1																																			0.1
48101	481	1				1	17	8			1	30904	3							2	48101																					2		1002		3	1	2		1		1	100224	1																												1002		1080		0.2	
48102	481	2					1	99902	3											24	48102			1																												1																																			0.1
48103	481	3					1	99902	3											4	48103																															1			23	48102	1																														0.1
48104	481	4					1	99902	3											2	48104																															1																																		0.2	
48105	481	5					1	99902	3											4	48105																															1																																		0.2	
48106	481	6					1	99902	3											2	48106																															1																																		0.2	
