掉落ID	最小等级	最大等级	随机方式	掉落层级	子掉落1ID	子掉落1数量区间	子掉落1权重	子掉落2ID	子掉落2数量区间	子掉落2权重	子掉落3ID	子掉落3数量区间	子掉落3权重	子掉落4ID	子掉落4数量区间	子掉落4权重	子掉落5ID	子掉落5数量区间	子掉落5权重	子掉落6ID	子掉落6数量区间	子掉落6权重	子掉落7ID	子掉落7数量区间	子掉落7权重	子掉落8ID	子掉落8数量区间	子掉落8权重	子掉落9ID	子掉落9数量区间	子掉落9权重	子掉落10ID	子掉落10数量区间	子掉落10权重	子掉落11ID	子掉落11数量区间	子掉落11权重	子掉落12ID	子掉落12数量区间	子掉落12权重	子掉落13ID	子掉落13数量区间	子掉落13权重	子掉落14ID	子掉落14数量区间	子掉落14权重	子掉落15ID	子掉落15数量区间	子掉落15权重	子掉落16ID	子掉落16数量区间	子掉落16权重	子掉落17ID	子掉落17数量区间	子掉落17权重	子掉落18ID	子掉落18数量区间	子掉落18权重	子掉落19ID	子掉落19数量区间	子掉落19权重	子掉落20ID	子掉落20数量区间	子掉落20权重	子掉落21ID	子掉落21数量区间	子掉落21权重	子掉落22ID	子掉落22数量区间	子掉落22权重	子掉落23ID	子掉落23数量区间	子掉落23权重	子掉落24ID	子掉落24数量区间	子掉落24权重	子掉落25ID	子掉落25数量区间	子掉落25权重	子掉落26ID	子掉落26数量区间	子掉落26权重	子掉落27ID	子掉落27数量区间	子掉落27权重	子掉落28ID	子掉落28数量区间	子掉落28权重	子掉落29ID	子掉落29数量区间	子掉落29权重	子掉落30ID	子掉落30数量区间	子掉落30权重	节点类型	是否掉落地面	产出来源类型	每日产出次数上限	历史产出次数上限
52020211			0	1																																																																																											1	1	11007		0
52020212			0	1																																																																																											1	1	11007		0
52020213			0	1	500000	1	7600	500001	1	2400																																																																																					1	1	11007		0
52020214			0	1	104011	1	7800	104012	1	2200																																																																																					1	1	11007		0
52020215			0	1	521200	1	9000	521205	1	900	521206	1	100																																																																																		1	1	11007		0
52020300			1	0	102	20	10000	307	2	10000	202	480;720	10000	52020311	2.3	10000	52020313	1	7000	52020314	3.45	10000	52020315	1.5	10000																																																																						1	1	11007		
52020311			0	1																																																																																											1	1	11007		0
52020312			0	1																																																																																											1	1	11007		0
52020313			0	1	500000	1	7400	500001	1	2600																																																																																					1	1	11007		0
52020314			0	1	104011	1	7200	104012	1	2800																																																																																					1	1	11007		0
52020315			0	1	521200	1	6600	521205	1	3060	521206	1	340																																																																																		1	1	11007		0
52020400			1	0	102	20	10000	307	3	10000	202	720;1080	10000	500120	1	5000	52020411	2.5	10000	52020412	1	3000	52020413	1	8000	52020414	3.75	10000	52020415	1.75	10000																																																																1	1	11007		
52020411			0	1																																																																																											1	1	11007		0
52020412			0	1																																																																																											1	1	11007		0
52020413			0	1	500000	1	7200	500001	1	2800																																																																																					1	1	11007		0
52020414			0	1	104011	1	6600	104012	1	3400																																																																																					1	1	11007		0
52020415			0	1	521200	1	6600	521205	1	3060	521206	1	340																																																																																		1	1	11007		0
52020500			1	0	102	30	10000	307	3	10000	202	720;1080	10000	500120	1	5000	52020511	3	10000	52020512	1	4500	52020513	1	9000	52020514	4.5	10000	52020515	1.75	10000																																																																1	1	11007		
52020511			0	1																																																																																											1	1	11007		0
52020512			0	1																																																																																											1	1	11007		0
52020513			0	1	500000	1	7000	500001	1	3000																																																																																					1	1	11007		0
52020514			0	1	104011	1	6000	104012	1	4000																																																																																					1	1	11007		0
52020515			0	1	521200	1	3400	521205	1	5040	521206	1	560	521211	1	900	521212	1	100																																																																												1	1	11007		0
52020600			1	0	102	30	10000	307	4	10000	202	960;1440	10000	500120	1	10000	109407	1	10000	52020611	3.2	10000	52020612	1	6000	52020613	1	10000	52020614	4.8	10000	52020615	2	10000																																																													1	1	11007		
52020611			0	1																																																																																											1	1	11007		0
52020612			0	1																																																																																											1	1	11007		0
52020613			0	1	500000	1	6800	500001	1	3200																																																																																					1	1	11007		0
52020614			0	1	104011	1	4650	104012	1	4600	104013	1	750																																																																																		1	1	11007		0
52020615			0	1	521200	1	3400	521205	1	5040	521206	1	560	521211	1	900	521212	1	100																																																																												1	1	11007		0
52020700			1	0	102	30	10000	307	4	10000	202	960;1440	10000	500120	1	10000	52020711	3.5	10000	52020712	1	7500	52020713	1.1	10000	52020714	5.25	10000	52020715	2	10000																																																																1	1	11007		
52020711			0	1																																																																																											1	1	11007		0
52020712			0	1																																																																																											1	1	11007		0
52020713			0	1	500000	1	6600	500001	1	3400																																																																																					1	1	11007		0
52020714			0	1	104011	1	3900	104012	1	5200	104013	1	900																																																																																		1	1	11007		0
52020715			0	1	521205	1	6300	521206	1	699	521211	1	2700	521212	1	300																																																																															1	1	11007		0
52020800			1	0	102	30	10000	307	5	10000	202	1200;1800	10000	500120	1.5	10000	52020811	3.5	10000	52020812	1	9000	52020813	1.2	10000	52020814	5.25	10000	52020815	2.25	10000																																																																1	1	11007		
52020811			0	1																																																																																											1	1	11007		0
52020812			0	1																																																																																											1	1	11007		0
52020813			0	1	500000	1	6400	500001	1	3600																																																																																					1	1	11007		0
52020814			0	1	104011	1	3150	104012	1	5800	104013	1	1050																																																																																		1	1	11007		0
52020815			0	1	521211	1	8460	521212	1	940	521217	1	582	521218	1	18																																																																															1	1	11007		0
52020900			1	0	102	30	10000	307	5	10000	202	1200;1800	10000	500120	1.5	10000	52020911	3.75	10000	52020912	1.05	10000	52020913	1.3	10000	52020914	5.625	10000	52020915	2.25	10000																																																																1	1	11007		
52020911			0	1																																																																																											1	1	11007		0
52020912			0	1																																																																																											1	1	11007		0
52020913			0	1	500000	1	6200	500001	1	3800																																																																																					1	1	11007		0
52020914			0	1	104011	1	2400	104012	1	6400	104013	1	1200																																																																																		1	1	11007		0
52020915			0	1	521211	1	8460	521212	1	940	521217	1	582	521218	1	18																																																																															1	1	11007		0
52021000			1	0	102	30	10000	307	6	10000	202	1440;2160	10000	500120	2	10000	52021011	4	10000	52021012	1.2	10000	52021013	1.4	10000	52021014	6	10000	52021015	2.5	10000																																																																1	1	11007		
52021011			0	1																																																																																											1	1	11007		0
52021012			0	1																																																																																											1	1	11007		0
52021013			0	1	500000	1	6000	500001	1	4000																																																																																					1	1	11007		0
52021014			0	1	104011	1	1650	104012	1	7000	104013	1	1350																																																																																		1	1	11007		0
52021015			0	1	521211	1	6750	521212	1	750	521217	1	2425	521218	1	75																																																																															1	1	11007		0
52021100			1	0	102	30	10000	307	6	10000	202	1440;2160	10000	500120	2	10000	52021111	4	10000	52021112	1.35	10000	52021113	1.5	10000	52021114	6	10000	52021115	2.5	10000																																																																1	1	11007		
52021111			0	1																																																																																											1	1	11007		0
52021112			0	1																																																																																											1	1	11007		0
52021113			0	1	500000	1	5800	500001	1	4200																																																																																					1	1	11007		0
52021114			0	1	104011	1	900	104012	1	7600	104013	1	1500																																																																																		1	1	11007		0
52021115			0	1	521211	1	6750	521212	1	750	521217	1	2425	521218	1	75																																																																															1	1	11007		0
81011000			1	0	105	30	10000	102	125	10000	202	600	10000	104002	3.5	10000	81011011	6.5	10000																																																																												1	1	20006		
81011011			0	1	104001	1	10000																																																																																								1	1	20006		0
81012000			1	0	105	35	10000	102	150	10000	202	850	10000	104002	7.5	10000	81012011	6.5	10000																																																																												1	1	20006		
81012011			0	1	104001	1	10000																																																																																								1	1	20006		0
81012800			1	0	105	45	10000	102	175	10000	202	1125	10000	104002	7.5	10000	81012811	5.3	10000																																																																												1	1	20006		
81012811			0	1	104002	1	10000																																																																																								1	1	20006		0
81013300			1	0	105	50	10000	102	175	10000	202	1250	10000	104002	7.5	10000	81013311	9.3	10000																																																																												1	1	20006		
81013311			0	1	104002	1	10000																																																																																								1	1	20006		0
81014000			1	0	105	55	10000	102	175	10000	202	1375	10000	104002	6.6	10000	81014011	3.55	10000																																																																												1	1	20006		
81014011			0	1	104003	1	10000																																																																																								1	1	20006		0
81014600			1	0	105	60	10000	102	175	10000	202	1625	10000	104002	6.6	10000	81014611	4.55	10000																																																																												1	1	20006		
81014611			0	1	104003	1	10000																																																																																								1	1	20006		0
82012700			1	0	105	45	10000	102	175	10000	202	1125	10000	510000	2.2	10000	82012711	1	10000																																																																												1	1	20006		
82012711			0	1	510000	1	10000																																																																																								1	1	20006		0
82013300			1	0	105	50	10000	102	175	10000	202	1250	10000	510000	2.5	10000	82013311	1.5	10000																																																																												1	1	20006		
82013311			0	1	510000	1	5000	510001	1	5000																																																																																					1	1	20006		0
82014100			1	0	105	55	10000	102	175	10000	202	1500	10000	510000	3.3	10000	82014111	1.5	10000																																																																												1	1	20006		
82014111			0	1	510001	1	10000																																																																																								1	1	20006		0
82015000			1	0	105	60	10000	102	175	10000	202	1625	10000	510000	2.2	10000	82015011	2.2	10000																																																																												1	1	20006		
82015011			0	1	510001	1	9000	510002	1	1000																																																																																					1	1	20006		0
82112700			1	0	105	45	10000	102	175	10000	202	1125	10000	104301	2.2	10000	82112711	1	10000																																																																												1	1	20006		
82112711			0	1	104301	1	10000																																																																																								1	1	20006		0
82113300			1	0	105	50	10000	102	175	10000	202	1250	10000	104301	2.5	10000	82113311	1.5	10000																																																																												1	1	20006		
82113311			0	1	104301	1	5000	104302	1	5000																																																																																					1	1	20006		0
82114100			1	0	105	55	10000	102	175	10000	202	1500	10000	104301	3.3	10000	82114111	1.5	10000																																																																												1	1	20006		
82114111			0	1	104302	1	10000																																																																																								1	1	20006		0
82115000			1	0	105	60	10000	102	175	10000	202	1625	10000	104301	2.2	10000	82115011	2.2	10000																																																																												1	1	20006		
82115011			0	1	104302	1	9000	104303	1	1000																																																																																					1	1	20006		0
82212700			1	0	105	45	10000	102	175	10000	202	1125	10000	104304	2.2	10000	82212711	1	10000																																																																												1	1	20006		
82212711			0	1	104304	1	10000																																																																																								1	1	20006		0
82213300			1	0	105	50	10000	102	175	10000	202	1250	10000	104304	2.5	10000	82213311	1.5	10000																																																																												1	1	20006		
82213311			0	1	104304	1	5000	104305	1	5000																																																																																					1	1	20006		0
82214100			1	0	105	55	10000	102	175	10000	202	1500	10000	104304	3.3	10000	82214111	1.5	10000																																																																												1	1	20006		
82214111			0	1	104305	1	10000																																																																																								1	1	20006		0
82215000			1	0	105	60	10000	102	175	10000	202	1625	10000	104304	2.2	10000	82215011	2.2	10000																																																																												1	1	20006		
82215011			0	1	104305	1	9000	104306	1	1000																																																																																					1	1	20006		0
82312700			1	0	105	45	10000	102	175	10000	202	1125	10000	104307	2.2	10000	82312711	1	10000																																																																												1	1	20006		
82312711			0	1	104307	1	10000																																																																																								1	1	20006		0
82313300			1	0	105	50	10000	102	175	10000	202	1250	10000	104307	2.5	10000	82313311	1.5	10000																																																																												1	1	20006		
82313311			0	1	104307	1	5000	104308	1	5000																																																																																					1	1	20006		0
82314100			1	0	105	55	10000	102	175	10000	202	1500	10000	104307	3.3	10000	82314111	1.5	10000																																																																												1	1	20006		
82314111			0	1	104308	1	10000																																																																																								1	1	20006		0
82315000			1	0	105	60	10000	102	175	10000	202	1625	10000	104307	2.2	10000	82315011	2.2	10000																																																																												1	1	20006		
82315011			0	1	104308	1	9000	104309	1	1000																																																																																					1	1	20006		0
82022700			1	0	105	45	10000	102	175	10000	202	1125	10000	510010	2.2	10000	82022711	1	10000																																																																												1	1	20006		
82022711			0	1	510010	1	10000																																																																																								1	1	20006		0
82023300			1	0	105	50	10000	102	175	10000	202	1250	10000	510010	2.5	10000	82023311	1.5	10000																																																																												1	1	20006		
82023311			0	1	510010	1	5000	510011	1	5000																																																																																					1	1	20006		0
82024100			1	0	105	55	10000	102	175	10000	202	1500	10000	510010	3.3	10000	82024111	1.5	10000																																																																												1	1	20006		
82024111			0	1	510011	1	10000																																																																																								1	1	20006		0
82025000			1	0	105	60	10000	102	175	10000	202	1625	10000	510010	2.2	10000	82025011	2.2	10000																																																																												1	1	20006		
82025011			0	1	510011	1	9000	510012	1	1000																																																																																					1	1	20006		0
82122700			1	0	105	45	10000	102	175	10000	202	1125	10000	104310	2.2	10000	82122711	1	10000																																																																												1	1	20006		
82122711			0	1	104310	1	10000																																																																																								1	1	20006		0
82123300			1	0	105	50	10000	102	175	10000	202	1250	10000	104310	2.5	10000	82123311	1.5	10000																																																																												1	1	20006		
82123311			0	1	104310	1	5000	104311	1	5000																																																																																					1	1	20006		0
82124100			1	0	105	55	10000	102	175	10000	202	1500	10000	104310	3.3	10000	82124111	1.5	10000																																																																												1	1	20006		
82124111			0	1	104311	1	10000																																																																																								1	1	20006		0
82125000			1	0	105	60	10000	102	175	10000	202	1625	10000	104310	2.2	10000	82125011	2.2	10000																																																																												1	1	20006		
82125011			0	1	104311	1	9000	104312	1	1000																																																																																					1	1	20006		0
82222700			1	0	105	45	10000	102	175	10000	202	1125	10000	104313	2.2	10000	82222711	1	10000																																																																												1	1	20006		
82222711			0	1	104313	1	10000																																																																																								1	1	20006		0
82223300			1	0	105	50	10000	102	175	10000	202	1250	10000	104313	2.5	10000	82223311	1.5	10000																																																																												1	1	20006		
82223311			0	1	104313	1	5000	104314	1	5000																																																																																					1	1	20006		0
82224100			1	0	105	55	10000	102	175	10000	202	1500	10000	104313	3.3	10000	82224111	1.5	10000																																																																												1	1	20006		
82224111			0	1	104314	1	10000																																																																																								1	1	20006		0
82225000			1	0	105	60	10000	102	175	10000	202	1625	10000	104313	2.2	10000	82225011	2.2	10000																																																																												1	1	20006		
82225011			0	1	104314	1	9000	104315	1	1000																																																																																					1	1	20006		0
82322700			1	0	105	45	10000	102	175	10000	202	1125	10000	104316	2.2	10000	82322711	1	10000																																																																												1	1	20006		
82322711			0	1	104316	1	10000																																																																																								1	1	20006		0
82323300			1	0	105	50	10000	102	175	10000	202	1250	10000	104316	2.5	10000	82323311	1.5	10000																																																																												1	1	20006		
82323311			0	1	104316	1	5000	104317	1	5000																																																																																					1	1	20006		0
82324100			1	0	105	55	10000	102	175	10000	202	1500	10000	104316	3.3	10000	82324111	1.5	10000																																																																												1	1	20006		
82324111			0	1	104317	1	10000																																																																																								1	1	20006		0
82325000			1	0	105	60	10000	102	175	10000	202	1625	10000	104316	2.2	10000	82325011	2.2	10000																																																																												1	1	20006		
82325011			0	1	104317	1	9000	104318	1	1000																																																																																					1	1	20006		0
83011300			1	0	105	30	10000	102	125	10000	202	750	10000	510100	2.2	10000	83011311	2.5	10000																																																																												1	1	20006		
83011311			0	1	510100	1	10000																																																																																								1	1	20006		0
83012600			1	0	105	40	10000	102	175	10000	202	1125	10000	510100	2.1	10000	83012611	2.2	10000																																																																												1	1	20006		
83012611			0	1	510101	1	10000																																																																																								1	1	20006		0
83013500			1	0	105	50	10000	102	175	10000	202	1250	10000	510100	2.26	10000	83013511	3	10000																																																																												1	1	20006		
83013511			0	1	510101	1	9200	510102	1	800																																																																																					1	1	20006		0
83014500			1	0	105	55	10000	102	175	10000	202	1500	10000	510100	2.2	10000	83014511	3.1	10000																																																																												1	1	20006		
83014511			0	1	510101	1	8700	510102	1	800	510103	1	500																																																																																		1	1	20006		0
83111300			1	0	105	30	10000	102	125	10000	202	750	10000	114001	2.2	10000	83111311	2.5	10000																																																																												1	1	20006		
83111311			0	1	114001	1	10000																																																																																								1	1	20006		0
83112600			1	0	105	40	10000	102	175	10000	202	1125	10000	114001	2.1	10000	83112611	2.2	10000																																																																												1	1	20006		
83112611			0	1	114002	1	10000																																																																																								1	1	20006		0
83113500			1	0	105	50	10000	102	175	10000	202	1250	10000	114001	2.26	10000	83113511	3	10000																																																																												1	1	20006		
83113511			0	1	114002	1	9200	114003	1	800																																																																																					1	1	20006		0
83114500			1	0	105	55	10000	102	175	10000	202	1500	10000	114001	2.2	10000	83114511	3.1	10000																																																																												1	1	20006		
83114511			0	1	114002	1	8700	114003	1	800	114004	1	500																																																																																		1	1	20006		0
83211300			1	0	105	30	10000	102	125	10000	202	750	10000	114005	2.2	10000	83211311	2.5	10000																																																																												1	1	20006		
83211311			0	1	114005	1	10000																																																																																								1	1	20006		0
83212600			1	0	105	40	10000	102	175	10000	202	1125	10000	114005	2.1	10000	83212611	2.2	10000																																																																												1	1	20006		
83212611			0	1	114006	1	10000																																																																																								1	1	20006		0
83213500			1	0	105	50	10000	102	175	10000	202	1250	10000	114005	2.26	10000	83213511	3	10000																																																																												1	1	20006		
83213511			0	1	114006	1	9200	114007	1	800																																																																																					1	1	20006		0
83214500			1	0	105	55	10000	102	175	10000	202	1500	10000	114005	2.2	10000	83214511	3.1	10000																																																																												1	1	20006		
83214511			0	1	114006	1	8700	114007	1	800	114008	1	500																																																																																		1	1	20006		0
83311300			1	0	105	30	10000	102	125	10000	202	750	10000	114009	2.2	10000	83311311	2.5	10000																																																																												1	1	20006		
83311311			0	1	114009	1	10000																																																																																								1	1	20006		0
83312600			1	0	105	40	10000	102	175	10000	202	1125	10000	114009	2.1	10000	83312611	2.2	10000																																																																												1	1	20006		
83312611			0	1	114010	1	10000																																																																																								1	1	20006		0
83313500			1	0	105	50	10000	102	175	10000	202	1250	10000	114009	2.26	10000	83313511	3	10000																																																																												1	1	20006		
83313511			0	1	114010	1	9200	114011	1	800																																																																																					1	1	20006		0
83314500			1	0	105	55	10000	102	175	10000	202	1500	10000	114009	2.2	10000	83314511	3.1	10000																																																																												1	1	20006		
83314511			0	1	114010	1	8700	114011	1	800	114012	1	500																																																																																		1	1	20006		0
83021300			1	0	105	30	10000	102	125	10000	202	750	10000	510110	2.2	10000	83021311	2.5	10000																																																																												1	1	20006		
83021311			0	1	510110	1	10000																																																																																								1	1	20006		0
83022600			1	0	105	40	10000	102	175	10000	202	1125	10000	510110	2.1	10000	83022611	2.2	10000																																																																												1	1	20006		
83022611			0	1	510111	1	10000																																																																																								1	1	20006		0
83023500			1	0	105	50	10000	102	175	10000	202	1250	10000	510110	2.26	10000	83023511	3	10000																																																																												1	1	20006		
83023511			0	1	510111	1	9200	510112	1	800																																																																																					1	1	20006		0
83024500			1	0	105	55	10000	102	175	10000	202	1500	10000	510110	2.2	10000	83024511	3.1	10000																																																																												1	1	20006		
83024511			0	1	510111	1	8700	510112	1	800	510113	1	500																																																																																		1	1	20006		0
83121300			1	0	105	30	10000	102	125	10000	202	750	10000	114013	2.2	10000	83121311	2.5	10000																																																																												1	1	20006		
83121311			0	1	114013	1	10000																																																																																								1	1	20006		0
83122600			1	0	105	40	10000	102	175	10000	202	1125	10000	114013	2.1	10000	83122611	2.2	10000																																																																												1	1	20006		
83122611			0	1	114014	1	10000																																																																																								1	1	20006		0
83123500			1	0	105	50	10000	102	175	10000	202	1250	10000	114013	2.26	10000	83123511	3	10000																																																																												1	1	20006		
83123511			0	1	114014	1	9200	114015	1	800																																																																																					1	1	20006		0
83124500			1	0	105	55	10000	102	175	10000	202	1500	10000	114013	2.2	10000	83124511	3.1	10000																																																																												1	1	20006		
83124511			0	1	114014	1	8700	114015	1	800	114016	1	500																																																																																		1	1	20006		0
83221300			1	0	105	30	10000	102	125	10000	202	750	10000	114017	2.2	10000	83221311	2.5	10000																																																																												1	1	20006		
83221311			0	1	114017	1	10000																																																																																								1	1	20006		0
83222600			1	0	105	40	10000	102	175	10000	202	1125	10000	114017	2.1	10000	83222611	2.2	10000																																																																												1	1	20006		
83222611			0	1	114018	1	10000																																																																																								1	1	20006		0
83223500			1	0	105	50	10000	102	175	10000	202	1250	10000	114017	2.26	10000	83223511	3	10000																																																																												1	1	20006		
83223511			0	1	114018	1	9200	114019	1	800																																																																																					1	1	20006		0
83224500			1	0	105	55	10000	102	175	10000	202	1500	10000	114017	2.2	10000	83224511	3.1	10000																																																																												1	1	20006		
83224511			0	1	114018	1	8700	114019	1	800	114020	1	500																																																																																		1	1	20006		0
83321300			1	0	105	30	10000	102	125	10000	202	750	10000	114021	2.2	10000	83321311	2.5	10000																																																																												1	1	20006		
83321311			0	1	114021	1	10000																																																																																								1	1	20006		0
83322600			1	0	105	40	10000	102	175	10000	202	1125	10000	114021	2.1	10000	83322611	2.2	10000																																																																												1	1	20006		
83322611			0	1	114022	1	10000																																																																																								1	1	20006		0
83323500			1	0	105	50	10000	102	175	10000	202	1250	10000	114021	2.26	10000	83323511	3	10000																																																																												1	1	20006		
83323511			0	1	114022	1	9200	114023	1	800																																																																																					1	1	20006		0
83324500			1	0	105	55	10000	102	175	10000	202	1500	10000	114021	2.2	10000	83324511	3.1	10000																																																																												1	1	20006		
83324511			0	1	114022	1	8700	114023	1	800	114024	1	500																																																																																		1	1	20006		0
84021200			1	0	102	125	10000	202	14000	10000																																																																																					1	1	20006		
84022100			1	0	102	175	10000	202	20000	10000																																																																																					1	1	20006		
84022700			1	0	102	175	10000	202	26000	10000																																																																																					1	1	20006		
84023100			1	0	102	175	10000	202	32000	10000																																																																																					1	1	20006		
84023600			1	0	102	175	10000	202	38000	10000																																																																																					1	1	20006		
84024100			1	0	102	175	10000	202	44000	10000																																																																																					1	1	20006		
84024600			1	0	102	175	10000	202	50000	10000																																																																																					1	1	20006		
85112000			1	0	105	35	10000	102	150	10000	202	850	10000	85112011	2.414	10000	85112012	3.976	10000	85112013	1	7100																																																																									1	1	20006		
85112011			0	1	520000	1	10000																																																																																								1	1	20006		0
85112012			0	1	520005	1	8000	520006	1	2000																																																																																					1	1	20006		0
85112013			0	1	520011	1	8000	520012	1	2000																																																																																					1	1	20006		0
85112014			0	1	520017	1	8000	520018	1	2000																																																																																					1	1	20006		0
85112015			0	1	520023	1	8000	520024	1	2000																																																																																					1	1	20006		0
85112500			1	0	105	40	10000	102	175	10000	202	1000	10000	85112512	4.97	10000	85112513	2.13	10000																																																																												1	1	20006		
85112511			0	1	520000	1	10000																																																																																								1	1	20006		0
85112512			0	1	520005	1	8000	520006	1	2000																																																																																					1	1	20006		0
85112513			0	1	520011	1	8000	520012	1	2000																																																																																					1	1	20006		0
85112514			0	1	520017	1	8000	520018	1	2000																																																																																					1	1	20006		0
85112515			0	1	520023	1	8000	520024	1	2000																																																																																					1	1	20006		0
85113000			1	0	105	45	10000	102	175	10000	202	1125	10000	85113012	2.414	10000	85113013	4.686	10000																																																																												1	1	20006		
85113011			0	1	520000	1	10000																																																																																								1	1	20006		0
85113012			0	1	520005	1	8000	520006	1	2000																																																																																					1	1	20006		0
85113013			0	1	520011	1	8000	520012	1	2000																																																																																					1	1	20006		0
85113014			0	1	520017	1	8000	520018	1	2000																																																																																					1	1	20006		0
85113015			0	1	520023	1	8000	520024	1	2000																																																																																					1	1	20006		0
85113500			1	0	105	50	10000	102	175	10000	202	1250	10000	85113513	6.674	10000	85113514	1	4260																																																																												1	1	20006		
85113511			0	1	520000	1	10000																																																																																								1	1	20006		0
85113512			0	1	520005	1	8000	520006	1	2000																																																																																					1	1	20006		0
85113513			0	1	520011	1	8000	520012	1	2000																																																																																					1	1	20006		0
85113514			0	1	520017	1	8000	520018	1	2000																																																																																					1	1	20006		0
85113515			0	1	520023	1	8000	520024	1	2000																																																																																					1	1	20006		0
85114000			1	0	105	55	10000	102	175	10000	202	1375	10000	85114013	5.325	10000	85114014	1.775	10000																																																																												1	1	20006		
85114011			0	1	520000	1	10000																																																																																								1	1	20006		0
85114012			0	1	520005	1	8000	520006	1	2000																																																																																					1	1	20006		0
85114013			0	1	520011	1	8000	520012	1	2000																																																																																					1	1	20006		0
85114014			0	1	520017	1	8000	520018	1	2000																																																																																					1	1	20006		0
85114015			0	1	520023	1	8000	520024	1	2000																																																																																					1	1	20006		0
85114700			1	0	105	60	10000	102	175	10000	202	1625	10000	85114713	1.988	10000	85114714	4.402	10000	85114715	1	7100																																																																									1	1	20006		
85114711			0	1	520000	1	10000																																																																																								1	1	20006		0
85114712			0	1	520005	1	8000	520006	1	2000																																																																																					1	1	20006		0
85114713			0	1	520011	1	8000	520012	1	2000																																																																																					1	1	20006		0
85114714			0	1	520017	1	8000	520018	1	2000																																																																																					1	1	20006		0
85114715			0	1	520023	1	8000	520024	1	2000																																																																																					1	1	20006		0
85115500			1	0	105	65	10000	102	175	10000	202	1700	10000	85115514	6.035	10000	85115515	1.065	10000																																																																												1	1	20006		
85115511			0	1	520000	1	10000																																																																																								1	1	20006		0
85115512			0	1	520005	1	8000	520006	1	2000																																																																																					1	1	20006		0
85115513			0	1	520011	1	8000	520012	1	2000																																																																																					1	1	20006		0
85115514			0	1	520017	1	8000	520018	1	2000																																																																																					1	1	20006		0
85115515			0	1	520023	1	8000	520024	1	2000																																																																																					1	1	20006		0
85116000			1	0	105	70	10000	102	175	10000	202	1775	10000	85116014	6.035	10000	85116015	1.065	10000																																																																												1	1	20006		
85116011			0	1	520000	1	10000																																																																																								1	1	20006		0
85116012			0	1	520005	1	8000	520006	1	2000																																																																																					1	1	20006		0
85116013			0	1	520011	1	8000	520012	1	2000																																																																																					1	1	20006		0
85116014			0	1	520017	1	8000	520018	1	2000																																																																																					1	1	20006		0
85116015			0	1	520023	1	8000	520024	1	2000																																																																																					1	1	20006		0
85212000			1	0	105	35	10000	102	150	10000	202	850	10000	85212011	2.414	10000	85212012	3.976	10000	85212013	1	7100																																																																									1	1	20006		
85212011			0	1	520100	1	10000																																																																																								1	1	20006		0
85212012			0	1	520105	1	8000	520106	1	2000																																																																																					1	1	20006		0
85212013			0	1	520111	1	8000	520112	1	2000																																																																																					1	1	20006		0
85212014			0	1	520117	1	8000	520118	1	2000																																																																																					1	1	20006		0
85212015			0	1	520123	1	8000	520124	1	2000																																																																																					1	1	20006		0
85212500			1	0	105	40	10000	102	175	10000	202	1000	10000	85212512	4.97	10000	85212513	2.13	10000																																																																												1	1	20006		
85212511			0	1	520100	1	10000																																																																																								1	1	20006		0
85212512			0	1	520105	1	8000	520106	1	2000																																																																																					1	1	20006		0
85212513			0	1	520111	1	8000	520112	1	2000																																																																																					1	1	20006		0
85212514			0	1	520117	1	8000	520118	1	2000																																																																																					1	1	20006		0
85212515			0	1	520123	1	8000	520124	1	2000																																																																																					1	1	20006		0
85213000			1	0	105	45	10000	102	175	10000	202	1125	10000	85213012	2.414	10000	85213013	4.686	10000																																																																												1	1	20006		
85213011			0	1	520100	1	10000																																																																																								1	1	20006		0
85213012			0	1	520105	1	8000	520106	1	2000																																																																																					1	1	20006		0
85213013			0	1	520111	1	8000	520112	1	2000																																																																																					1	1	20006		0
85213014			0	1	520117	1	8000	520118	1	2000																																																																																					1	1	20006		0
85213015			0	1	520123	1	8000	520124	1	2000																																																																																					1	1	20006		0
85213500			1	0	105	50	10000	102	175	10000	202	1250	10000	85213513	6.674	10000	85213514	1	4260																																																																												1	1	20006		
85213511			0	1	520100	1	10000																																																																																								1	1	20006		0
85213512			0	1	520105	1	8000	520106	1	2000																																																																																					1	1	20006		0
85213513			0	1	520111	1	8000	520112	1	2000																																																																																					1	1	20006		0
85213514			0	1	520117	1	8000	520118	1	2000																																																																																					1	1	20006		0
85213515			0	1	520123	1	8000	520124	1	2000																																																																																					1	1	20006		0
85214000			1	0	105	55	10000	102	175	10000	202	1375	10000	85214013	5.325	10000	85214014	1.775	10000																																																																												1	1	20006		
85214011			0	1	520100	1	10000																																																																																								1	1	20006		0
85214012			0	1	520105	1	8000	520106	1	2000																																																																																					1	1	20006		0
85214013			0	1	520111	1	8000	520112	1	2000																																																																																					1	1	20006		0
85214014			0	1	520117	1	8000	520118	1	2000																																																																																					1	1	20006		0
85214015			0	1	520123	1	8000	520124	1	2000																																																																																					1	1	20006		0
85214700			1	0	105	60	10000	102	175	10000	202	1625	10000	85214713	1.988	10000	85214714	4.402	10000	85214715	1	7100																																																																									1	1	20006		
85214711			0	1	520100	1	10000																																																																																								1	1	20006		0
85214712			0	1	520105	1	8000	520106	1	2000																																																																																					1	1	20006		0
85214713			0	1	520111	1	8000	520112	1	2000																																																																																					1	1	20006		0
85214714			0	1	520117	1	8000	520118	1	2000																																																																																					1	1	20006		0
