对话ID	触发方式	启用模式	[触发条件]组合	[触发条件]1类型	[触发条件]1参数1	[触发条件]1参数2	[触发条件]1参数3	[触发条件]2类型	[触发条件]2参数1	[触发条件]2参数2	[触发条件]3类型	[触发条件]3参数1	[触发条件]3参数2	优先级	后续对话ID	初始台词ID	演员NpcID	专属父任务ID
1010056		1		1	1010036	3									1010065,1010066	101005601	1427	10100
1010057		1		1	1010035	2									1010052	101005701	1427	10100
1010058		1		1	1010036	2									1010052	101005701	1427	10100
1010059		1		1	1010037	3									1010052	101005901	1427	10100
1010060		1														101006001	1427	10100
1010061		1		1	1010008	2										101006101	1425	10100
1010062		1		1	1010008	2									1010067	101006201	1427	10100
1010063		1		1	1010008	2									1010067	101006301	1427	10100
1010064		1		1	1010008	2									1010067	101006401	1427	10100
1010065		1		1	1010008	2									1010067	101006501	1427	10100
1010066		1		1	1010008	2									1010052	101006601	1427	10100
1010067		1														101006701	1427	10100
1010068	2	1		1	1010009	2										101006801	1427	10100
1010009	1	1		1	1010009	2								5		101000901	1007	10100
1010107	1	1		1	1010114	2								1		101010701	1007	10101
1010112	1	1		1	1010112	2								1		101011201	1007	10101
1010108	1	1		1	1010108	2								1		101010801	1007	10101
1010110	2	1		1	1010110	2								1		101011001	1007	10101
1010115	2	1		1	1010115	2								1		101011501	1007	10101
1010120	1	1		1	1010120	2								5		101012001	1007	10101
2010103	1	1		1	2010103	2										201010301	1501	20101
2010105	2	1		1	2010105	2									2010106,2010108	201010501	1503	20101
2010106															2010109	201010601	1503	20101
2010108															2010109	201010801	1503	20101
2010109															2010110,2010111,2010113,2010114	201010901	1503	20101
2010110			1	1	2010109	3		1	2010141	2						2010110011	1503	20101
2010111			1	1	2010110	3		1	2010106	3						201011101	1503	20101
2010113			1	1	2010110	3		1	2010108	3						201011301	1503	20101
2010114			1	1	2010109	3		1	2010141	3						2010110021	1503	20101
20101151	2	1	1	1	2010113	3		1	2010145	3				5		201011302	1503	20101
20101152	2	1	1	1	2010113	3		1	2010145	2				5		201011303	1503	20101
20101153	2	1	1	1	2010105	3		1	2010108	2				3	2010108	201010501	1503	20101
20101154	2	1	1	1	2010108	3		1	2010111	2				3		201011101	1503	20101
2010115	2	1		1	2010115	2									2010117,2010118	201011501	1504	20101
2010117															2010119	201011701	1504	20101
2010118															2010119	201011801	1504	20101
2010119															2010120,2010122,2010123,2010124	201011901	1504	20101
2010120			1	1	2010119	3		1	2010141	2						201012001	1504	20101
2010122			1	1	2010120	3		1	2010117	3						201012201	1504	20101
2010123			1	1	2010120	3		1	2010118	3						201012301	1504	20101
2010124			1	1	2010119	3		1	2010141	3						201012002	1504	20101
20101251	2	1	1	1	2010123	3		1	2010147	3				5		201012302	1504	20101
20101252	2	1		1	2010123	3		1	2010147	2				5		201012303	1504	20101
20101253	2	1	1	1	2010115	3		1	2010118	2				3	2010118	201011501	1504	20101
20101254	2	1	1	1	2010118	3		1	2010121	2				3		201012201	1504	20101
2010151	2	1		1	2010151	2										201015101	1009	20101
