对话ID	触发方式	启用模式	[触发条件]组合	[触发条件]1类型	[触发条件]1参数1	[触发条件]1参数2	[触发条件]2类型	[触发条件]2参数1	[触发条件]2参数2	[触发条件]3类型	[触发条件]3参数1	[触发条件]3参数2	优先级	后续对话ID	初始台词ID	演员NpcID	专属父任务ID
6205401	2	1											3	6205402,6205403,6205404	620540101	2054	
6205402	2	1											1		620540201	2054	
6205403	2	1											1		620540301	2054	
6205404	2	1											1		620540401	2054	
6204401	2	1											3	6204402,6204403,6204404	620440101	2044	
6204402	2	1											1		620440201	2044	
6204403	2	1		1	100008	3							1		620440301	2044	
6204404	2	1											1		620440401	2044	
6203301	2	1											3	6203302,6203303,6203304	620330101	2033	
6203302	2	1											1		620330201	2033	
6203303	2	1		1	100008	3							1		620330301	2033	
6203304	2	1											1		620330401	2033	
6208301	2	1											3	6208302,6208303	620830101	2083	
6208302	2	1											1		620830201	2083	
6208303	2	1											1		620830301	2083	
6203601	2	1		21	1								3	6203602,6203603,6203604	620360101	2036	
6203602	2	1		21	1								1		620360201	2036	
6203603	2	1	1	21	1		1	100008	3				1		620360301	2036	
6203604	2	1		21	1								1		620360401	2036	
6203605	2	1		21	0								3	6203606,6203607	620360501	2036	
6203606	2	1		21	0								1		620360601	2036	
6203607	2	1		21	0								1		620360701	2036	
6207601	2	1											3	6207602,6207603,6207604	620760101	2076	
6207602	2	1											1		620760201	2076	
6207603	2	1		1	100008	3							1		620760301	2076	
6207604	2	1											1		620760401	2076	
6205501	2	1		21	1								3	6205502,6205503,6205504	620550101	2055	
6205502	2	1		21	1								1		620550201	2055	
6205503	2	1	1	21	1		1	100008	3				1		620550301	2055	
6205504	2	1		21	1								1		620550401	2055	
6205505	2	1		21	0								3	6205506,6205507	620550501	2055	
6205506	2	1		21	0								1		620550601	2055	
6205507	2	1		21	0								1		620550701	2055	
6207401	2	1											3		620740101	2074	
6203001	2	1											3		620740101	2030	
6203101	2	1											3		620740101	2031	
6200301	2	1											3	6200302,6200303,6200304	620030101	2003	
6200302	2	1											1		620030201	2003	
6200303	2	1											1		620030301	2003	
6200304	2	1											1		620030401	2003	
6207701	2	1											3	6207702,6207703,6207704	620770101	2077	
6207702	2	1											1		620770201	2077	
6207703	2	1											1		620770301	2077	
6207704	2	1											1		620770401	2077	
6200401	2	1		21	1								3	6200402,6200403,6200404	620040101	2004	
6200402	2	1		21	1								1		620040201	2004	
6200403	2	1	1	21	1		1	100008	3				1		620040301	2004	
6200404	2	1		21	1								1		620040401	2004	
6200405	2	1		21	0								3	6200406,6200407,6200408	620040501	2004	
6200406	2	1		21	0								1		620040601	2004	
6200407	2	1		21	0								1		620040701	2004	
6200408	2	1		21	0								1		620040801	2004	
6204001	2	1											3		620400101	2040	
6207901	2	1											3		620400101	2079	
6200601	2	1											3	6200602,6200603,6200604	620060101	2006	
6200602	2	1											1		620060201	2006	
6200603	2	1											1		620060301	2006	
6200604	2	1											1		620060401	2006	
6209201	2	1											3	6209202,6209203	620920101	2092	
6209202	2	1											1		620920201	2092	
6209203	2	1											1		620920301	2092	
6201801	2	1		21	1								3		620180101	2018	
6200701	2	1		21	1								3		620180101	2007	
6200705	2	1		21	0								3	6200706,6200707,6200708	620070501	2007	
6200706	2	1		21	0								1		620070601	2007	
6200707	2	1	1	21	0		1	100008	3				1		620070701	2007	
6200708	2	1		21	0								1		620070801	2007	
6200901	2	1											3	6200902,6200903,6200904	620090101	2009	
6200902	2	1											1		620090201	2009	
6200903	2	1											1		620090301	2009	
6200904	2	1											1		620090401	2009	
6201001	2	1											3	6201002,6201003	620100101	2010	
6201002	2	1											1		620100201	2010	
6201003	2	1											1		620100301	2010	
6201101	2	1		21	1								3	6201102,6201103,6201104	620110101	2011	
6201102	2	1		21	1								1		620110201	2011	
6201103	2	1	1	21	1		1	100008	3				1		620110301	2011	
6201104	2	1		21	1								1		620110401	2011	
6201105	2	1		21	0								3	6201106,6201107,6201108	620110501	2011	
6201106	2	1		21	0								1		620110601	2011	
6201107	2	1		21	0								1		620110701	2011	
6201108	2	1		21	0								1		620110801	2011	
6202501	2	1											3	6202502,6202503	620250101	2025	
6202502	2	1											1		620250201	2025	
6202503	2	1											1		620250301	2025	
6209301	2	1											3	6209302,6209303,6209304	620930101	2093	
6209302	2	1											1		620930201	2093	
6209303	2	1											1		620930301	2093	
6209304	2	1											1		620930401	2093	
6209001	2	1											3	1200205,6209002,6209003,6209004,6209005	620900101	2090	
1200205	2	1		1	1200205	2							1		120020501	2090	12002
6209002	2	1		10	1008	1							1		620900201	2090	
6209003	2	1											1		620900301	2090	
6209004	2	1		1	100008	3							1		620900401	2090	
6209005	2	1											1		620900501	2090	
6207201	2	1											3	1200206,6207202,6207203,6207204	620720101	2072	
1200206	2	1		1	1200206	2							1		120020601	2072	12002
6207202	2	1											1		620720201	2072	
6207203	2	1											1		620720301	2072	
6207204	2	1											1		620720401	2072	
6242801	2	1											3	6242802,6242803	624280101	2428	
6242802	2	1											1		624280201	2428	
6242803	2	1											1		624280301	2428	
6242901	2	1											3	6242902,6242903	624290101	2429	
6242902	2	1											1		624290201	2429	
6242903	2	1											1		624290301	2429	
6242401	2	1											3	6242402,6242403	624240101	2424	
6242402	2	1											1		624240201	2424	
6242403	2	1											1		624240301	2424	
6242501	2	1											3	6242502,6242503,6242504	624250101	2425	
6242502	2	1											1		624250201	2425	
6242503	2	1											1		624250301	2425	
6242504	2	1											1		624250401	2425	
6243101	2	1											3	6243102,6243103	624310101	2431	
6243102	2	1											1		624310201	2431	
6243103	2	1											1		624310301	2431	
6243201	2	1											3	6243202,6243203	624320101	2432	
6243202	2	1											1		624320201	2432	
6243203	2	1											1		624320301	2432	
6209401	2	1											3	6209402,6209403,6209404	620940101	2094	
6209402	2	1											1		620940201	2094	
6209403	2	1		1	100008	3							1		620940301	2094	
6209404	2	1											1		620940401	2094	
6207801	2	1											3	2211102,2010136,2010137,2010138,6207804,6207805,2010141,2010142,6207802,6207803	620780101	2078	
6207802	2	1											1		620780201	2078	
6207803	2	1											1		620780301	2078	
6207804				14	0								2		620780401	2078	
6207805				14	1								2		620780501	2078	
6204801	2	1											3	6204806,6204807,6204802,6204804,6204805	620480101	2048	
6204802	2	1		10	1003	1							1		620480201	2048	
6204803	2	1											1		620480301	2048	
6204804	2	1											1		620480401	2048	
6204805	2	1											1		620480501	2048	
6204806	2	1	1	10	37	1	27	0					1		620480601	2048	
6204807	2	1	1	10	37	1	27	1					1		620480701	2048	
6231001	2	1											3	6231002,6231003,6231004	623100101	2310	
6231002	2	1											1		623100201	2310	
6231003	2	1											1		623100301	2310	
6231004	2	1											1		623100401	2310	
6162801	2	1											3	6162802,6162803	616280101	1628	
6162802	2	1											1		616280201	1628	
6162803	2	1											1		616280301	1628	
6204101	2	1											3	6204102,6204103	620410101	2041	
6204102	2	1											1		620410201	2041	
6204103	2	1											1		620410301	2041	
6204201	2	1											3	6204202,6204203	620420101	2042	
6204202	2	1											1		620420201	2042	
6204203	2	1											1		620420301	2042	
6205001	2	1											3	6205002,6205003	620500101	2050	
6205002	2	1											1		620500201	2050	
6205003	2	1											1		620500301	2050	
6208501	2	1		21	1								3	6208502,6208503	620850101	2085	
6208502	2	1		21	1								1		620850201	2085	
6208503	2	1		21	1								1		620850301	2085	
6208505	2	1		21	0								3	6208506,6208507,6208508	620850501	2085	
6208506	2	1		21	0								1		620850601	2085	
6208507	2	1		21	0								1		620850701	2085	
6208508	2	1		21	0								1		620850801	2085	
6205601	2	1											3	6205602,6205603,6205604	620560101	2056	
6205602	2	1											1		620560201	2056	
6205603	2	1											1		620560301	2056	
6205604	2	1											1		620560401	2056	
6205701	2	1											3	6205702,6205703	620570101	2057	
6205702	2	1											1		620570201	2057	
6205703	2	1											1		620570301	2057	
6205801	2	1											3	6205802,6205803	620580101	2058	
6205802	2	1											1		620580201	2058	
6205803	2	1											1		620580301	2058	
6208701	2	1											3	6208702,6208703,6208704	620870101	2087	
6208702	2	1											1		620870201	2087	
6208703	2	1											1		620870301	2087	
6208704	2	1											1		620870401	2087	
6206401	2	1											3	6206402,6206403,6206404	620640101	2064	
6206402	2	1											1		620640201	2064	
6206403	2	1		1	100008	3							1		620640301	2064	
6206404	2	1											1		620640401	2064	
6206501	2	1											3	6206502,6206503	620650101	2065	
6206502	2	1											1		620650201	2065	
6206503	2	1											1		620650301	2065	
6206901	2	1											3	6206902,6206903,6206904	620690101	2069	
6206902	2	1											1		620690201	2069	
6206903	2	1											1		620690301	2069	
6206904	2	1											1		620690401	2069	
6207001	2	1											3	6207002,6207003,6207004	620700101	2070	
6207002	2	1											1		620700201	2070	
6207003	2	1		1	100008	3							1		620700301	2070	
6207004	2	1											1		620700401	2070	
6207101	2	1											3	6207102,6207103	620710101	2071	
6207102	2	1											1		620710201	2071	
6207103	2	1											1		620710301	2071	
6204501	2	1											3	6204502,6204503,6204504	620450101	2045	
6204502	2	1		10	1010	1							1		620450201	2045	
6204503	2	1											1		620450301	2045	
6204504	2	1											1		620450401	2045	
61021601	2	1											5		400060101	10216	
